#                <userDataType codeMap="center=0,north=1,north-east=2,south=3,south-east=4,? = 0 1 2 3 4 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="5"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="5" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.2</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SubG1_BI_fin_v2_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_north-east	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_north_north-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_north-east_south	geoSubstModelLogger.location.relGeoRate_north-east_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.SubG1_BI_fin_v2_seqs	rateAC.SubG1_BI_fin_v2_seqs	rateAG.SubG1_BI_fin_v2_seqs	rateAT.SubG1_BI_fin_v2_seqs	rateCG.SubG1_BI_fin_v2_seqs	rateGT.SubG1_BI_fin_v2_seqs	freqParameter.SubG1_BI_fin_v2_seqs.1	freqParameter.SubG1_BI_fin_v2_seqs.2	freqParameter.SubG1_BI_fin_v2_seqs.3	freqParameter.SubG1_BI_fin_v2_seqs.4	gammaShape.SubG1_BI_fin_v2_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	PopSizes.11	PopSizes.12	PopSizes.13	PopSizes.14	PopSizes.15	PopSizes.16	PopSizes.17	PopSizes.18	PopSizes.19	PopSizes.20	PopSizes.21	PopSizes.22	PopSizes.23	PopSizes.24	PopSizes.25	PopSizes.26	PopSizes.27	PopSizes.28	PopSizes.29	PopSizes.30	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	GroupSizes.11	GroupSizes.12	GroupSizes.13	GroupSizes.14	GroupSizes.15	GroupSizes.16	GroupSizes.17	GroupSizes.18	GroupSizes.19	GroupSizes.20	GroupSizes.21	GroupSizes.22	GroupSizes.23	GroupSizes.24	GroupSizes.25	GroupSizes.26	GroupSizes.27	GroupSizes.28	GroupSizes.29	GroupSizes.30	BICEPSPopSize	
0	-42746.39662987913	-42641.26400874461	-105.13262113451242	-42525.100662379846	0.6296759552358486	1	1	1	1	1	0	1	0	0	1	1.3771720335394662	1.813676836749498	1.156262104139509	0.2932624965335575	1.281062733903607	1.57743426147632	0.5625233321232198	0.05106091946776385	3.578172177566668	0.04879747274759404	2.6488767099701698	1.3771720335394662	1.813676836749498	1.156262104139509	0.2932624965335575	1.281062733903607	0.0	0.5625233321232198	0.0	0.0	0.04879747274759404	7.186345176460553E-4	0.04141488764695127	0.2890293009031531	0.027146206899430706	0.03011033702711415	0.1719574274557214	0.2976912171711426	0.1815719019589938	0.19383672046147818	0.3269001604083848	0.23906373983468326	-82.35381469489501	0.5453696085310197	2.180861459655097	2.370596674792975	1.8032090558394025	2.0118576201772	2.30501317850284	1.6024329852752113	2.824657574374712	6.0022975689402625	1.2082277923191012	2.241468199204479	2.8133039145207883	3.210209833696521	0.630714591040169	0.6036589425779803	0.5665483295446349	0.7736491493242235	0.5733661723717435	0.22223581022289363	0.17836392598993553	0.20329075061157925	0.39187632713501147	0.2875389695682254	0.11329411705268688	0.09736414808082458	0.04927834762301853	0.07992801412354371	0.08733116067463838	0.0801502879952851	0.14362271674415125	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1.0207694367283047	
900000	-42744.12539560471	-42636.746577904494	-107.37881770021036	-42533.66700328649	0.5899498117634584	1	1	1	1	1	0	0	0	1	0	3.5119541828326457	2.106652711835787	0.6106745660676892	0.4458137950697036	0.05574710939263032	1.3343227499551342	0.504587071406454	0.38022719040911723	1.275527192165699	0.8143057115767187	1.5083639514394187	3.5119541828326457	2.106652711835787	0.6106745660676892	0.4458137950697036	0.05574710939263032	0.0	0.0	0.0	1.275527192165699	0.0	6.454925391641662E-4	0.04598241531670863	0.22141703508048988	0.026244240093711575	0.0222635152315369	0.20506928167091937	0.2970639126420467	0.17943343474840573	0.1975769857205615	0.32592566688898544	0.17733210250505463	-87.19405197020095	1.0772300046616357	2.6025866755347553	1.168288359677068	4.352288176867635	2.105011474715609	1.4582371301688577	1.5557076833731598	9.906530243247271	2.1209297981364736	1.7426337622719443	2.502836576550595	1.1777582421897341	0.7000864166518981	0.3132611126303476	1.2957327299230046	0.871927513598878	0.4022890085563765	0.29453915956064564	0.5799176581159268	0.31910248699303806	0.25198129372685096	0.16440775826242074	0.154501142359982	0.1890616310417268	0.261539264599949	0.17010378844925989	0.0948216106683401	0.0916161543516524	0.04340751657524744	0.04482391363009585	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1.3786861500441996	
1800000	-42767.25932685168	-42650.03051965848	-117.22880719319673	-42526.93545634992	0.6969103202271916	1	1	1	0	1	0	0	1	1	0	1.8820476525475098	2.7303910493334578	0.6274629789105393	1.0696061480416972	0.5532854611242213	0.0740411464630557	2.6192117462177045	0.2558488697375167	1.2811275595258294	4.003144891864047	2.197318567059976	1.8820476525475098	2.7303910493334578	0.6274629789105393	0.0	0.5532854611242213	0.0	0.0	0.2558488697375167	1.2811275595258294	0.0	6.9813156253729E-4	0.044063979510559	0.21474351662755328	0.020099204663788863	0.022347469669166824	0.18566503526447337	0.29725048327454934	0.1828904880236058	0.19374290555937276	0.32611612314247174	0.013164802976696144	-93.35606937846882	1.170579402933693	1.0432671042273365	3.04313419673972	2.860549620934312	1.5566410269548867	2.6155385303651597	7.370595860205288	2.249590708378055	1.6001910732996931	3.662714624987582	3.2986453863379173	1.780442380626171	1.7867463242655415	2.009734814744048	0.48318891669720504	0.296616740870253	0.7649421745166611	0.40826353503300655	0.20174306335731204	0.13191069704976668	0.18392504726784378	0.13785538477787662	0.11573716818069175	0.08044171698551723	0.10258221914546752	0.057478435917878025	0.2194117131403833	0.05389135020014055	0.11309087040942159	0.06966568386206277	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1.2571345250253532	
2700000	-42728.81353845904	-42636.16801380223	-92.64552465681386	-42521.29599810361	0.6363493854233774	1	1	1	0	0	0	1	0	1	0	1.3431231189736161	1.5737247780739778	0.6980153789963407	0.40609011200488715	0.18148871445665984	0.5190384738979709	0.04496538337958448	1.354550888924197	1.4113461036239807	0.7145656040136376	2.349803064372498	1.3431231189736161	1.5737247780739778	0.6980153789963407	0.0	0.0	0.0	0.04496538337958448	0.0	1.4113461036239807	0.0	5.999597852494189E-4	0.029085852659749948	0.28793214931648686	0.03911312580171188	0.02940143802727529	0.14216938587573447	0.2976075165834374	0.18234541456716846	0.1930098833426828	0.32703718550671096	0.028470995046140438	-74.15426277278829	2.352583497087388	3.170785462373653	2.4360374228421016	5.489894130361182	1.837188631601569	3.3793891155559095	3.2810643306072174	9.754872830744251	2.7572823614921473	3.152566413414043	2.7418775838104286	2.0714540502940673	0.7231648853094237	1.0041361349776046	1.207171893279145	0.6459959662530326	0.32770167515126564	0.38429860292064005	1.3522065413114892	0.1325011464349	0.23283501451592178	0.15898860426408837	0.057432661501101975	0.038647524254455674	0.028156031236249802	0.04302229573404878	0.06103462664982525	0.055487184461466436	0.11315927082498214	0.02416796822631789	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3.045551715742235	
3600000	-42759.53795756571	-42648.77185225319	-110.76610531252676	-42533.26890642036	0.6064892785389864	1	1	1	1	0	0	1	0	0	1	1.2927280752856447	2.228801545749613	0.16279248854258985	1.166661350263962	2.1389981988671196	0.3914981239690098	0.45508919937680187	0.11265840159534346	0.9234856736246666	2.481394328646617	3.514913375547142	1.2927280752856447	2.228801545749613	0.16279248854258985	1.166661350263962	0.0	0.0	0.45508919937680187	0.0	0.0	2.481394328646617	6.639662324506815E-4	0.024931710618985675	0.28384276370717254	0.024755869290510324	0.03729762304040769	0.16415950357510997	0.29825183560627605	0.18270870631021494	0.19252837862285066	0.32651107946065805	0.0590435760821309	-90.73384599075347	0.8991320347448892	4.270836994609814	2.774613377520562	3.1187488546655926	2.1732127263776615	2.0430058237936066	4.844555795430774	2.4176454249564476	4.961017239139973	4.039326019820006	1.0382339934226348	5.546520675068857	1.0139429701294822	1.0696230354716902	0.41239930607369385	0.44407529487268893	0.59066695951047	0.3389422900290345	0.32902465340845927	0.17962921904267068	0.5363471546965882	0.6031049868715811	0.13250193279159986	0.21117551235095158	0.08472053939161904	0.07798658655470457	0.062052499202791433	0.12478858035559007	0.07892249019728234	0.03126774382807156	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.6590805013407626	
4500000	-42773.54244381194	-42653.136647290776	-120.405796521163	-42548.82848597414	0.6211148565134217	1	1	1	1	1	0	0	0	0	1	0.7687172021665388	1.117898390286233	0.6780504990110888	1.0192627250074737	0.5368556991307621	0.6329281452220182	1.6163501747691436	0.2248355699818099	1.3512493852358392	0.2095672587367613	2.076423361466987	0.7687172021665388	1.117898390286233	0.6780504990110888	1.0192627250074737	0.5368556991307621	0.0	0.0	0.0	0.0	0.2095672587367613	7.484016841655903E-4	0.04755594624633385	0.2684461897532909	0.02201713959536378	0.03291971254735981	0.2112865914153049	0.3019033922043783	0.18438932280473022	0.19488295698307173	0.3188243280078197	0.18428856009416925	-102.17065306735194	3.0496188990079984	1.2159850223367834	0.8245304057026069	1.070091559514615	3.1884160713726635	2.720685488179643	8.894421826895345	8.60875060393041	11.742418342705196	5.16158540775358	3.238336831460452	1.070367731329726	0.33437109048928765	0.7526171933166631	0.9305048793818136	0.3909277241806218	0.219660575982893	0.9452484974863039	0.5372896727594999	0.8281594001921767	0.5502050872796228	0.403984691981019	0.2773584998225218	0.11314955396569318	0.20013895640631965	0.13130502429195948	0.11010637887168147	0.057431677744307734	0.027889480776287664	0.05201875060782686	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1.4989779612752998	
5400000	-42772.989999435864	-42645.74249910179	-127.2475003340739	-42537.01366450747	0.6313794447540975	1	1	1	1	1	0	0	0	0	0	0.4457622390199613	0.44914726081042045	0.26402210558215705	0.7429542370318697	0.4248291460815703	1.1301496950444023	0.23063039336165	0.2184616782263222	0.9952644129074575	1.8510666615229656	1.252277442205766	0.4457622390199613	0.44914726081042045	0.26402210558215705	0.7429542370318697	0.4248291460815703	0.0	0.0	0.0	0.0	0.0	6.381464179400649E-4	0.07673963156664819	0.2854596315129076	0.030099678950855063	0.044730068623335874	0.1807526660833086	0.29739443132353344	0.18128565026708238	0.19955458658940398	0.3217653318199801	0.17490500741576345	-111.89353127167534	1.2782920276516818	1.9455206517782508	7.606520266091048	3.877835183464971	2.769906411841457	5.446911587060552	11.807288421429217	5.074404028355697	2.8467005666718035	3.6044624070691236	1.4068835071652501	1.0915470008428778	0.9145830681216721	0.5321782409378012	0.4734956160133521	0.31480050967029183	0.5301085654735757	0.12215801878857913	0.1762123492853031	0.21006677231149537	0.1447583242542668	0.12153247678406809	0.1694273804759334	0.14460208159871327	0.19131812253933497	0.22188947958342053	0.2500872514643727	0.3989744529940086	0.2096244411082783	0.052155247176502946	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.8893117410276437	
6300000	-42762.642531684105	-42631.83804046215	-130.80449122195589	-42524.28225990175	0.6176445983494061	1	1	1	0	0	0	1	0	1	0	3.23400968078315	1.614657604619949	0.2114486048138436	0.17178079735521462	2.5613684268068235	0.31809232813549615	2.4555979357568414	0.09075447213007021	0.341731495686575	0.4459550983644389	2.425924501183241	3.23400968078315	1.614657604619949	0.2114486048138436	0.0	0.0	0.0	2.4555979357568414	0.0	0.341731495686575	0.0	5.992318929876929E-4	0.04710419869475598	0.2551261129827135	0.03072887279788288	0.07102466615913462	0.21056269556395363	0.2977420513598885	0.18531951397458585	0.1931796590434846	0.3237587756220409	0.016749534673412978	-111.06287403001758	0.5549154237023394	2.8896720088235064	1.8977248188080549	9.894998582621842	2.34889109937825	6.0612528365420655	4.335422263375068	13.667495016502167	3.922829736630495	3.3405621150112075	0.8219175169048163	4.010930881989058	0.6234973892879789	0.38074928195836893	0.6001495669201545	0.6193315397840002	0.8431395509835969	1.0905504305343772	0.9038430732883638	0.2968157861308546	0.43908550377263755	0.2912649074829411	0.1740229447702606	0.07092800795531463	0.767967609504439	0.12108288962700683	0.12507572844838438	0.08802403104394152	0.03801949193928314	0.09378043878243658	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.35825906868921287	
7200000	-42734.64649144029	-42653.163889517746	-81.48260192254224	-42537.78365230103	0.5784267199231791	1	1	1	0	1	0	0	0	1	1	0.894021729388354	1.8899349928184357	0.7539402366973316	1.8882932381891293	0.6815860265783743	0.33905419832583356	0.6236958969754159	1.2267677306657996	0.46788178076572834	0.5461851642676672	2.913327399062362	0.894021729388354	1.8899349928184357	0.7539402366973316	0.0	0.6815860265783743	0.0	0.0	0.0	0.46788178076572834	0.5461851642676672	6.522511223485299E-4	0.1036743306112168	0.3133565652319576	0.03528894655563289	0.08553388973408103	0.20965733857962315	0.29925420030686606	0.18312907964894332	0.1954961493871546	0.3221205706570359	0.06795610679087986	-59.56319650796739	0.968565247372431	1.5421760219440233	1.6667085362419234	4.520827495925392	3.2281899713106212	9.147997702857502	2.2098221266387563	2.1147949682140204	5.38366455398667	6.015907364464654	2.1130669322593714	1.2367403822528464	1.0443541505522662	1.0663217108012495	1.0860636866211575	0.5914141378738076	0.23509620539891138	0.2978006145285216	0.8263851170858582	0.2697338925989619	0.11444000861209398	0.05934633434297974	0.06970816060588612	0.036216002331052675	0.05981795854017156	0.03465511911271389	0.02823531343675079	0.09059174292370992	0.17442129568582976	0.034170992204980814	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1.5435761947561524	
8100000	-42784.78468120021	-42648.54886756794	-136.23581363227115	-42519.54068138542	0.6302576446090723	1	1	1	0	1	1	0	0	1	0	0.6040922773599345	1.3556792014273285	0.4794015640115427	0.8861513814178577	0.5385069961685883	0.12363923702565716	1.8101866542626681	3.6218815033062666	0.5265712825256957	1.496777037591689	3.667388624249824	0.6040922773599345	1.3556792014273285	0.4794015640115427	0.0	0.5385069961685883	0.12363923702565716	0.0	0.0	0.5265712825256957	0.0	6.138448687747787E-4	0.045088669009266925	0.27427833688925307	0.026791629754788354	0.027755050037207733	0.23522296069832827	0.29932713621321333	0.18445464509496767	0.19160073216242376	0.3246174865293952	0.13327547546715585	-112.36565977178851	2.2793158253762593	3.172194792017405	1.2240754067540576	3.1354617536581064	4.181024949667908	2.8982569465546337	2.623364918062449	3.2580638736421803	3.372698839207957	3.1304127150653547	2.1402046790480234	1.8415874099080638	1.093982218244158	1.109247261212773	0.2316072576269374	0.36148785979785913	0.6282259907702545	0.5294824221410604	0.439518258013364	0.3972192948144798	0.43186883181963437	0.1867292955955624	0.39229896437740897	0.1473498475361492	0.07841178117339333	0.21124724015462581	0.059374501438381744	0.15329133809097165	0.12787889084357928	0.049210572409233586	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3.1980999116473035	
