#                <userDataType codeMap="center=0,mid-east=1,north=2,north-east=3,south=4,south-east=5,? = 0 1 2 3 4 5 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="6"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="6" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.16666666666666666</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SubG2_BI_fin_v2_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	rateIndicator.location.11	rateIndicator.location.12	rateIndicator.location.13	rateIndicator.location.14	rateIndicator.location.15	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	relativeGeoRates.location.11	relativeGeoRates.location.12	relativeGeoRates.location.13	relativeGeoRates.location.14	relativeGeoRates.location.15	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_north-east	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_north-east	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_north-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_north-east_south	geoSubstModelLogger.location.relGeoRate_north-east_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.SubG2_BI_fin_v2_seqs	freqParameter.SubG2_BI_fin_v2_seqs.1	freqParameter.SubG2_BI_fin_v2_seqs.2	freqParameter.SubG2_BI_fin_v2_seqs.3	freqParameter.SubG2_BI_fin_v2_seqs.4	rateAC.SubG2_BI_fin_v2_seqs	rateAG.SubG2_BI_fin_v2_seqs	rateAT.SubG2_BI_fin_v2_seqs	rateCG.SubG2_BI_fin_v2_seqs	rateGT.SubG2_BI_fin_v2_seqs	gammaShape.SubG2_BI_fin_v2_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	PopSizes.11	PopSizes.12	PopSizes.13	PopSizes.14	PopSizes.15	PopSizes.16	PopSizes.17	PopSizes.18	PopSizes.19	PopSizes.20	PopSizes.21	PopSizes.22	PopSizes.23	PopSizes.24	PopSizes.25	PopSizes.26	PopSizes.27	PopSizes.28	PopSizes.29	PopSizes.30	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	GroupSizes.11	GroupSizes.12	GroupSizes.13	GroupSizes.14	GroupSizes.15	GroupSizes.16	GroupSizes.17	GroupSizes.18	GroupSizes.19	GroupSizes.20	GroupSizes.21	GroupSizes.22	GroupSizes.23	GroupSizes.24	GroupSizes.25	GroupSizes.26	GroupSizes.27	GroupSizes.28	GroupSizes.29	GroupSizes.30	BICEPSPopSize	
0	-44465.33769539904	-44166.82703769938	-298.5106576996557	-44009.38789508484	0.8431504401653198	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	3.0924722540980745	0.32765615416869615	4.672883964442834	0.3211106199584724	1.2165107553189536	0.01806013350366236	0.9510759985810178	0.05532595551126473	2.071131488512301	1.716170303541076	0.7678851094106525	0.886628875967153	1.6423390609028798	0.4363801257597985	6.9331204358769565	2.462036639190513	0.0	0.0	4.672883964442834	0.0	0.0	0.0	0.9510759985810178	0.05532595551126473	0.0	1.716170303541076	0.0	0.886628875967153	1.6423390609028798	0.0	6.9331204358769565	3.9446965210659566E-4	0.30004782248090656	0.18136668566094213	0.19323100567295323	0.3253544861851982	0.0419701566346936	0.3696211861987291	0.03979639192237151	0.047253255029353056	0.19182406276017827	0.06991242928177588	-256.67579933775954	6.724906746600134	11.67883449240432	30.343949662004942	87.36288766646	23.114169721958998	32.66086868943552	16.099923783929192	30.45150111810165	7.76682304654513	6.9021555219351285	2.673667730098309	2.4127808082598827	5.012304812837405	4.739733346036877	8.622112959991897	3.126746616931854	4.2927861363764315	2.0035395289745286	0.8793977827501411	1.3173926850688709	0.9940008584133161	0.6538400017179342	0.3090819981434015	0.8265636562365695	1.0313658798559142	0.388705793646572	0.3117307460299486	0.32913189230187684	0.09482095675537659	0.10337396086939574	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	10.454329066265592	
900000	-44444.65741149551	-44167.29442853403	-277.3629829614775	-44011.919364501504	1.5016876431643613	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0.17595786942071961	0.11688647913001676	4.032505977704126	4.667863714944727	0.03737298988646988	0.05750016199778389	0.5362817248457434	0.9063769035364813	0.10547265564325951	0.7262839130499515	0.34968495780610714	1.9632649535321047	0.8095560083995514	0.1992901718534918	0.9394793466526721	1.8244191810045611	0.17595786942071961	0.0	4.032505977704126	0.0	0.0	0.0	0.5362817248457434	0.9063769035364813	0.10547265564325951	0.7262839130499515	0.0	0.0	0.8095560083995514	0.0	0.9394793466526721	3.1637388092727763E-4	0.2943165433771371	0.18448741082549305	0.19111971956087215	0.330076326236498	0.05939726716485892	0.3480030808638014	0.017892314487526446	0.032772845341985005	0.18176454625584393	0.04261611079123657	-246.26972152438304	6.995653714918841	27.66633874650786	30.144469838676972	54.35949825856206	84.04008938317418	59.1580746748994	30.143757932032035	24.131209576810562	14.965808006247059	3.0772586976054153	2.7087516086262284	4.658902308540203	1.9849285169253408	1.759353639763867	1.6985013077007305	2.0879449557525884	6.01113789190569	4.47991752298662	1.6777547104540473	1.938671432147976	0.9500175754932169	0.4879238257549222	0.4329058414032901	0.1437017772492095	0.20310678174309824	0.16350578649420225	0.2243953038294904	0.4061574755333377	0.41673222643024116	0.643214726622642	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	6.914170346866021	
1800000	-44458.86346891046	-44163.40763757432	-295.45583133613957	-44011.77353436836	0.8614608935407697	0	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0.004241720256410751	0.9186970871946731	2.3313303339589906	0.49443717799991893	0.5769251394912661	4.992880041054584	0.44184380491599307	0.8118552132054068	1.8673173985702989	0.08285907100280021	0.790295480179536	1.045310288209297	0.8615904606110626	0.04256709137359281	1.1202315452307487	1.4666154924252475	0.0	0.9186970871946731	2.3313303339589906	0.0	0.5769251394912661	0.0	0.44184380491599307	0.0	0.0	0.08285907100280021	0.0	0.0	0.8615904606110626	0.0	1.1202315452307487	3.077462779941198E-4	0.30397205655879633	0.17947457447366982	0.19576795528156596	0.3207854136859679	0.05984932635227442	0.2685813963059688	0.02446602942384136	0.022073448646984385	0.181902632158815	0.08345671975621073	-266.05836429115675	36.259219692433156	29.53437497116849	49.119764875105595	29.415507755476796	66.74212183953664	15.575634163968628	33.32413579063883	25.220494456754896	21.345567020604264	11.938186249782978	18.18552160428054	13.04505160968688	21.257562322128123	3.529521016045822	2.1087088029950225	2.1541070531744713	1.5324368236310704	0.5393106942058576	0.21162579462031872	0.29553725438963996	0.42582299029344123	0.14850793108357876	0.8004077040290418	0.8465803647503235	0.9840446584968535	1.309177089722871	0.7190373815005209	0.6654425955108477	0.22168423840770574	0.24982967989661206	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	5.974725944206979	
2700000	-44435.826095348864	-44175.050537864954	-260.7755574839099	-44029.82709835004	0.7312106621930414	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	2.2752606124550634	0.2801977750343728	0.5440423973173288	0.2539382686773856	0.8533215806436872	3.1334307771155907	0.1005221910892256	0.03383932178677508	0.8959320980313362	0.674049363961223	0.077632146727462	0.7134801908808417	0.013049149036696512	0.1533155464817701	0.49812222328822275	1.866331058421555	0.0	0.2801977750343728	0.5440423973173288	0.2539382686773856	0.0	0.0	0.1005221910892256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49812222328822275	4.636918067233169E-4	0.30014603266833173	0.1770732837001164	0.19799141102236267	0.3247892726091891	0.05490053876222603	0.26925662975629616	0.02258989985922131	0.02505226190533232	0.09870632045412184	0.09529944298141094	-241.9277129697245	7.9265249176491395	21.822974244884062	44.04607187794156	8.849683131368339	6.5110303374150815	5.2862305030609695	9.220072730006555	10.657561438850601	17.079734759594746	6.299763752746752	3.3925132775734737	2.96623184834582	4.439306035012405	3.9188090698443694	2.982691810971957	2.5709183890957523	2.999756546745674	5.761714253723632	5.017546345151022	1.4393997036886084	1.8316375414585317	2.0840281802791556	0.4261680654110599	0.3282335219256264	0.16952742287610037	0.19839527639074314	0.08166699334088186	0.07084305808330116	0.11269357551161689	0.16455134253153106	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2.1202721645289846	
3600000	-44477.7902357712	-44180.17360867001	-297.61662710118827	-44021.27171634576	0.9315169198765978	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	2.017304103618698	0.3058431384242861	2.0401143191233237	0.24425996060049202	2.2604933166347156	0.8802383273492231	1.2418211533492902	0.5693633307381949	0.4489720454001283	0.8456420657728013	0.6860601697023321	0.11026481029038214	1.0253037044315358	0.19914230207107142	2.7176118274383887	2.34168174667877	0.0	0.3058431384242861	2.0401143191233237	0.0	0.0	0.0	1.2418211533492902	0.0	0.4489720454001283	0.8456420657728013	0.0	0.0	1.0253037044315358	0.0	2.7176118274383887	3.2195210049835505E-4	0.3010298134004878	0.17894481075453172	0.19452872146808733	0.3254966543768929	0.06074425562419727	0.28736431890520986	0.03516258125159605	0.023140601277732507	0.153965702566229	0.05981793308306726	-266.43016787296335	22.16663040078378	61.10834556744021	19.40768218531908	23.26382605843692	67.86445228648924	30.342225586937356	12.500955272846225	13.000626977732948	32.096771730042576	11.665845587008606	15.532820673589235	4.543261882054978	4.389579063941421	2.535757072398783	1.2781989114166457	1.6618493945596284	1.4864187211430708	0.963232314399101	0.5410062614560606	0.5256225408474756	0.3521844094049805	0.24525071043418356	0.4308405384590321	0.6809295848549257	0.3183775673676196	0.6251259692996964	0.9386524754667382	0.3945925399436221	0.24201919280168116	0.4322359397293206	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	9.999073529507777	
4500000	-44478.23761085555	-44167.25286280919	-310.98474804636	-44020.96892699363	1.0716966977515838	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1.6862524475169238	1.628525601520745	2.629129636357143	0.5500293835555043	0.5081121982978767	0.13944462115726897	0.9897163719248443	2.9055626086354374	0.19004248995572717	1.0342993700216476	2.8272240769107544	0.9089178376283877	1.6249061458516467	2.065957314624901	0.039695090864381416	1.5987184911322443	0.0	0.0	2.629129636357143	0.0	0.5081121982978767	0.13944462115726897	0.9897163719248443	0.0	0.19004248995572717	1.0342993700216476	0.0	0.0	1.6249061458516467	0.0	0.0	2.9856226631690597E-4	0.29892590639851535	0.17841303112998497	0.1928048417030537	0.3298562207684457	0.04458987899067251	0.3385398086160282	0.026587653285206722	0.03750880751602954	0.18966980992621238	0.13143113307417256	-280.23071007909374	6.038602664618326	38.23296815604555	59.508782033806646	29.769175423592248	49.89637736629755	19.742534130983515	31.790809358250023	29.74341958677551	19.660630354636027	5.695521425829052	7.760243559470157	5.125504672578242	3.0952144065359177	2.7659193562434057	2.569989267631939	2.4903798982418404	4.064678870028518	2.5115806295854006	1.429624600937821	1.0589937260693774	1.2235226923233888	1.4853772737616668	0.7701931724014753	1.3707923385555278	0.2627508200928062	0.6879803398941655	0.2823151478957253	0.31978864851801614	0.4056055822890605	0.2441820463221352	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2.292481687454583	
5400000	-44455.566201852496	-44156.8988340978	-298.66736775468996	-44002.37589114552	1.0902892278778227	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0.923175029563041	2.6514426485770834	2.624185514479385	0.729936097524689	0.8829477901989802	2.2427189828613026	0.020995404475820375	0.43425996545627243	0.7590639028487485	0.9500365993095429	0.014105796972179226	0.5956284676243312	0.022032046069247545	0.6666731226679802	1.4096066851438371	0.7032745173824945	0.923175029563041	2.6514426485770834	2.624185514479385	0.729936097524689	0.8829477901989802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4096066851438371	3.277832024023109E-4	0.3003869978639443	0.17514962943311155	0.1962777824714477	0.3281855902314963	0.057750192703771054	0.3590340185265795	0.02708335517776378	0.05366417012024864	0.13019431162304812	0.09609616069442017	-273.39068274584474	10.290307920864592	54.69332514614176	27.996956390924094	29.808710794169002	26.128942825129236	23.49955534287247	17.609110483619713	7.441050882928213	72.03214468135606	17.3767938615694	8.699225787706569	6.46299767324278	5.6081100533705275	4.952391728017648	3.6738685633415935	4.916368428712696	1.3162593799582702	0.9974290534342536	0.44429223954058494	1.0188836027773558	0.46439089643875464	0.20866875254799913	0.662151606659875	0.8320812215538733	0.44284758223919585	0.5002534221751783	0.36504097192233914	0.5330523785382896	0.23017645874758708	0.23860150948667253	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3.3309438029317104	
6300000	-44458.22703331285	-44169.125864010726	-289.1011693021227	-44018.89562401413	0.7681995863136152	0	0	1	1	0	0	1	1	0	1	1	0	1	0	1	0.3063201868262337	0.4621959011657512	1.5816953343451672	1.019990541712228	0.19819874913415153	1.4629208266555547	0.6567675285871364	0.4055522203145504	1.0399744202027175	1.1374839247922088	0.2896903885447977	3.3944255456702903	0.3505285082556553	0.15886616100212983	2.2046811731765352	2.0319796094729097	0.0	0.0	1.5816953343451672	1.019990541712228	0.0	0.0	0.6567675285871364	0.4055522203145504	0.0	1.1374839247922088	0.2896903885447977	0.0	0.3505285082556553	0.0	2.2046811731765352	4.2394105700081927E-4	0.3008855322774284	0.179434021294166	0.19701258145774816	0.32266786497065736	0.051528720553100836	0.33092214504146383	0.034334753771018696	0.020409489862348695	0.19337245332684802	0.06346302198633574	-261.3729549608587	12.386842940927764	48.685107903503145	16.68493088441394	15.208219502491632	27.810803051762164	45.22915702593525	9.418178028767896	9.544981759307802	21.970042201317423	15.488656956154015	4.612490120740516	3.567247800522749	3.5581228933635853	2.195707298734073	4.40658976859316	11.53099130185787	2.6467802392964566	1.4805618088777777	0.7876711476685009	1.633836098108628	3.039125096904383	0.7969159020469425	0.857846539528031	0.5099418121226704	3.0073960159052415	0.475461879863683	0.1335114850524889	0.08651694167564977	0.09439700225639598	0.08709241541540448	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2.9242416733771304	
7200000	-44428.58968430862	-44168.34258738018	-260.2470969284404	-44024.04168692322	0.900775667964227	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0.2511304930613208	1.5803878419405761	2.4072795986385143	1.4016241467793218	0.40253366354836095	0.26224804924615003	2.960261358445953	0.15946361418417226	0.24129595106083657	0.5236324474932534	0.2942709175593703	0.10003526611655837	0.6592728310407063	1.1515974534215057	0.9785193840735875	1.7816009600536746	0.0	1.5803878419405761	2.4072795986385143	0.0	0.40253366354836095	0.0	2.960261358445953	0.0	0.24129595106083657	0.0	0.2942709175593703	0.0	0.6592728310407063	0.0	0.9785193840735875	4.6443389982852944E-4	0.3020804486720952	0.17635294516068717	0.1916783653530332	0.32988824081418444	0.06131725755175618	0.26862339629627563	0.0358543591872857	0.03810043121038271	0.16666556710842254	0.029939213265421108	-235.96696100165232	4.882627701039071	49.07298116952604	37.128688834547525	37.98863325580202	11.369940625128772	22.603633705126235	11.196953945194801	26.097602360769844	13.534892093388448	8.874933664477142	2.8973794082276854	1.5332925668059718	1.6734120632371547	1.5806244220855459	1.316449204980996	0.314414638192329	1.1175471845114777	1.4944276882123049	0.8641566766348007	2.5450641904000193	3.347212946378584	2.2104415120839818	0.5890960764557123	1.0710359879895768	0.3136039915141821	0.18647776266114302	0.41414588879737374	0.1313007228525973	0.19614273754058892	0.1288973085151778	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	0.8319188495441718	
8100000	-44432.12169073376	-44168.15029821995	-263.9713925138027	-44009.86552137601	1.0402180905960172	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0.44596555484064837	0.46131461173524807	2.1656962499743218	0.42615317625600146	0.7329417725235603	1.3556548054655964	0.8127568350656433	0.08878610668787794	0.6770938356845311	0.8620182364482702	0.13750653882092506	0.37820442461607084	2.0825166564241444	1.0094550001645284	1.7853546258513406	2.0684533972900283	0.0	0.46131461173524807	2.1656962499743218	0.0	0.0	0.0	0.8127568350656433	0.0	0.0	0.8620182364482702	0.0	0.0	2.0825166564241444	0.0	1.7853546258513406	3.168652251913178E-4	0.29678088596456864	0.1838140361405285	0.19412657329321542	0.32527850460168756	0.037898032601050215	0.24251556226750007	0.01604828802929889	0.013553658911792079	0.18716395959262594	0.11597288223467103	-237.9724929031219	15.531713014053047	106.12880480577621	24.139385135536244	33.203524951150015	12.800148121849112	38.609161161351885	35.03518104916874	34.745987460963796	38.126210728019075	10.990658086210761	6.695996401920409	6.225611800096816	4.560373795387305	3.379983985986375	4.369072696819237	1.2998124893242216	0.8677786567394988	0.6886616989769256	0.2653825677135251	0.39547301723509143	0.10259681754037737	0.08946555384646884	0.2508820574490015	0.38349132523046564	0.14966095492705825	0.10151919814188913	0.42059476221177455	0.2683391563106948	0.16597126820674724	0.2973873435336518	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	9.464815878358502	
