#                <userDataType codeMap="center=0,mid-east=1,north=2,north-east=3,south=4,south-east=5,? = 0 1 2 3 4 5 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="6"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="6" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.16666666666666666</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SubG3_BI_fin_v22_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	rateIndicator.location.11	rateIndicator.location.12	rateIndicator.location.13	rateIndicator.location.14	rateIndicator.location.15	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	relativeGeoRates.location.11	relativeGeoRates.location.12	relativeGeoRates.location.13	relativeGeoRates.location.14	relativeGeoRates.location.15	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_north-east	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_north-east	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_north-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_north-east_south	geoSubstModelLogger.location.relGeoRate_north-east_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.SubG3_BI_fin_v22_seqs	gammaShape.SubG3_BI_fin_v22_seqs	freqParameter.SubG3_BI_fin_v22_seqs.1	freqParameter.SubG3_BI_fin_v22_seqs.2	freqParameter.SubG3_BI_fin_v22_seqs.3	freqParameter.SubG3_BI_fin_v22_seqs.4	rateAC.SubG3_BI_fin_v22_seqs	rateAG.SubG3_BI_fin_v22_seqs	rateAT.SubG3_BI_fin_v22_seqs	rateCG.SubG3_BI_fin_v22_seqs	rateGT.SubG3_BI_fin_v22_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	BICEPSPopSize	
0	-43262.56136422541	-43024.25915636979	-238.3022078556141	-42873.98050622305	0.6132792620512522	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1.9621843807004575	0.5605538599715357	1.065995337484201	1.1328126462924566	1.0823566121553378	3.1320309815064364	0.6407778935096239	0.1660093890522421	0.1759364948467159	0.5634058680220468	0.34652012384404846	0.21830191537638896	1.5509603149522808	0.05206998701732082	1.5889293760981782	3.6961460325051907	1.9621843807004575	0.5605538599715357	0.0	1.1328126462924566	0.0	0.0	0.6407778935096239	0.0	0.0	0.5634058680220468	0.0	0.0	0.0	0.0	1.5889293760981782	4.3334434272715964E-4	0.08697471833537625	0.30297669425159823	0.17502057679054378	0.20045497757819186	0.32154775137966624	0.07678113945765615	0.320561798602969	0.010753923946225803	0.06580110347337273	0.24877316053129148	-211.1687902042829	4.786877476105126	22.96059194738266	5.565417981534142	7.617875484902748	2.106633480637496	2.0815611636334705	3.4374117804198936	1.019043430701813	0.4237343323052175	0.1746575617704646	12	12	12	12	12	12	12	11	11	11	4.394535676155543	
450000	-43227.41954247304	-43021.64635335528	-205.7731891177585	-42868.72886609462	0.6508469990215673	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	3.017680400670561	0.19303646972265373	0.010089208882014148	0.9509264743101928	0.2372340768493831	0.20762614297817336	0.6120064506871371	1.1179108021348017	0.12144070439944436	1.1222642989507412	0.49884739113702137	0.36991766733062803	1.0421889457317135	1.2022841472452013	0.3836051700426126	4.023475579199307	3.017680400670561	0.0	0.0	0.9509264743101928	0.2372340768493831	0.0	0.6120064506871371	0.0	0.12144070439944436	1.1222642989507412	0.0	0.36991766733062803	0.0	0.0	0.3836051700426126	4.564553925607842E-4	0.1892299230311092	0.29682420735926024	0.17629747099211796	0.19696688726089487	0.32991143438772713	0.057523538271852075	0.2964567447382364	0.023432114014483085	0.015758988915839378	0.19351204782529302	-179.49159489777855	2.73457699575185	8.692345055875421	10.251227048561137	6.782279659808766	2.420701056335514	1.6539256661170614	0.8777774284391635	0.7652299127014006	0.3656734516915498	0.1256416107998016	12	12	12	12	12	12	12	11	11	11	5.692728723639298	
900000	-43221.64684940044	-43012.75857405394	-208.8882753464901	-42865.05819121931	0.6064212504816623	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1.282971810628165	0.6805866480297437	2.336734232500785	0.41416428723399273	2.417799905423786	1.5796893113401347	0.540861606933584	0.21152881799150464	0.28357640066914064	0.6762040237313999	0.24495674665410497	1.2650229824110755	0.19967302197115464	0.12341501304242172	0.4013421963102199	3.813869911915466	1.282971810628165	0.0	0.0	0.41416428723399273	0.0	0.0	0.540861606933584	0.21152881799150464	0.28357640066914064	0.6762040237313999	0.0	0.0	0.0	0.0	0.0	5.222850966319654E-4	0.1016252154777768	0.3027643101107034	0.18498699204849237	0.19221485614431075	0.32003384169649374	0.07417224566712513	0.3113916557624879	0.022390444310069944	0.040197136014523044	0.2511815664987169	-185.97499569241347	4.214522345287827	9.920299291394018	6.000016679991554	3.5752841374104585	3.113544517742597	2.0838807916264024	1.0574815641181057	0.43443449447909455	0.4098054769183857	0.1520954778516342	12	12	12	12	12	12	12	11	11	11	1.3200145589644965	
1350000	-43272.66422182103	-43027.07648036046	-245.58774146056894	-42871.33975954236	0.6276265788783079	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	2.8893920993381674	0.5449776683499289	1.0434881646201437	3.3711441337049584	1.413216373671392	2.2648034815723435	1.1771877502379542	2.550625656745335	1.1133019517702212	1.6020345345983926	0.1817784284239921	0.706546881371414	0.4333925082841911	0.6947729545998662	2.686393050736978	4.074470188025223	2.8893920993381674	0.5449776683499289	0.0	3.3711441337049584	0.0	0.0	1.1771877502379542	2.550625656745335	0.0	1.6020345345983926	0.0	0.0	0.4333925082841911	0.0	2.686393050736978	4.110348438568832E-4	0.056608312466444675	0.2979900249153395	0.18079464731273986	0.1972190254612674	0.3239963023106537	0.0650338565163643	0.35424765367755506	0.05484552340560138	0.051005215656410544	0.2835488692494705	-206.1317371064824	4.256093179570025	19.293276241399855	7.027218727340492	4.459487207959838	6.952028426649278	2.3888367992917288	1.3724623008187307	0.5632791946823387	0.5250947516784595	0.07541698979007888	12	12	12	12	12	12	12	11	11	11	4.2799314075714605	
1800000	-43236.51831733949	-43018.59735577687	-217.920961562622	-42875.39560520365	0.6351780353170315	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	2.8273548262950134	0.5722694638200864	0.17145862678209625	0.5857885446783734	0.8249219680067138	0.2492815762000706	1.6617053758831841	0.9419446525474737	0.24149551159955918	1.1907259437844058	0.40523653983913505	0.5845578497508211	1.9101216591163988	0.470234138447436	0.701751294029632	2.516164030675559	2.8273548262950134	0.0	0.0	0.5857885446783734	0.8249219680067138	0.2492815762000706	1.6617053758831841	0.0	0.0	1.1907259437844058	0.0	0.0	0.0	0.0	0.0	4.251678257432828E-4	0.2980051443921246	0.2940963467219283	0.18150170103451668	0.19496927403424294	0.3294326782093126	0.035994675811858334	0.3109796180575591	0.01866566676937516	0.03562213897352522	0.22914139490929752	-193.9537803857642	3.6804658535379082	10.47141268061025	6.173108123404113	6.6308697362555495	5.68559566020928	1.9594605626263033	0.7355484017517103	0.5633930232756877	0.2906473455867502	0.079185615599272	12	12	12	12	12	12	12	11	11	11	2.8493985875656653	
2250000	-43248.85606208171	-43027.4157448899	-221.4403171918123	-42877.29009016353	0.6104991138155411	1	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0.8183991450229077	0.4876569967507345	0.407050229382552	0.4008639911572812	6.525732592777115	1.8938760459570403	0.19533509220064957	1.0339272378251272	3.6677864136126055	1.4445489121668302	0.4182202021902541	2.672700001343726	0.19606532432697044	0.5809294883812086	3.360270449150025	4.14169038446572	0.8183991450229077	0.4876569967507345	0.0	0.4008639911572812	0.0	0.0	0.19533509220064957	1.0339272378251272	0.0	1.4445489121668302	0.0	0.0	0.0	0.0	3.360270449150025	4.654265070781651E-4	0.1675502796371713	0.29441323084793747	0.18400785989405175	0.19375827133672013	0.32782063792129124	0.06735960278235696	0.30192401637059973	0.027396401009623005	0.018471951117291874	0.22267486989601243	-183.2455517930033	1.914099770134231	15.932606483697185	4.05019810762176	7.299643985800212	2.744973460384067	2.69886911767613	0.9349580214074921	0.3407640811285341	0.4351651596122885	0.11496813507656063	12	12	12	12	12	12	12	11	11	11	5.264819668630439	
2700000	-43268.98317019332	-43006.58468334246	-262.398486850866	-42855.04958255222	0.7316420130993992	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1.9256650798378487	1.1358292257108094	0.2872846052786476	0.8850716518102036	1.416215520704526	0.36129815653531416	0.5302496546005153	1.52532804164551	1.1031960853751164	0.745829632342049	0.15172578540865228	0.22959984567172897	0.5889573665956419	1.6700927388816322	0.2630019337624277	2.6477422313053927	1.9256650798378487	1.1358292257108094	0.2872846052786476	0.8850716518102036	1.416215520704526	0.36129815653531416	0.5302496546005153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2694534795606286E-4	0.047126829377492595	0.29805392623473237	0.18107311736366086	0.1932193162025736	0.32765364019903376	0.06719207654838986	0.3887065041871974	0.025973448461600365	0.04899694841771987	0.27516899453945465	-235.21145537201875	9.027884109539569	13.32795961063293	8.795481287126863	6.394081695184244	3.870816932870609	4.159353576749918	1.515679807697187	0.6822093802517748	0.62041671872969	0.16971222734107347	12	12	12	12	12	12	12	11	11	11	4.5026014472809	
3150000	-43230.5182126935	-43014.22619788332	-216.29201481018515	-42871.129440635166	0.5824244802627325	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	2.4573014828507294	0.6189995346997733	0.4908629364234688	1.3137749795863527	0.7045919714199348	0.13653676241122198	1.0165926409306432	0.4188065646088859	1.3558561149153072	1.1997522854902092	1.4826852277069007	2.5000949348431614	1.4298560055655758	0.0667035926781685	0.06908992748211507	3.9787059668726483	2.4573014828507294	0.0	0.0	1.3137749795863527	0.7045919714199348	0.13653676241122198	1.0165926409306432	0.0	0.0	1.1997522854902092	0.0	0.0	0.0	0.0	0.0	4.60544695653593E-4	0.021588534612750253	0.30095913733934554	0.18228283465210376	0.1913664401628379	0.32539158784571304	0.04173207837726933	0.2980062202016867	0.038768602341862114	0.04841866043034928	0.24993050892416932	-185.42094996294094	3.3466491434401733	8.271284232566178	7.9123295896368635	6.318952374763291	4.360476333214924	1.827304183563716	3.7556895349020265	0.5428621495280282	0.2333200723189309	0.08150893112399195	12	12	12	12	12	12	12	11	11	11	9.082539783004234	
3600000	-43221.95516703387	-43012.60734522809	-209.3478218057815	-42865.47566384752	0.7955825533585174	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	2.420065092336713	0.7217531184285219	0.41439022279276067	0.7590859769296454	1.0930275427880156	1.0483011496915833	0.7864687770831122	0.13635750429413565	0.5975968525788876	0.8458966237142727	0.7187978332502495	0.6277659544184877	0.7308238961957522	1.1153537163922944	1.1857403060812843	3.886957651331442	2.420065092336713	0.0	0.0	0.7590859769296454	1.0930275427880156	0.0	0.7864687770831122	0.0	0.0	0.8458966237142727	0.0	0.0	0.0	0.0	1.1857403060812843	4.430605845224233E-4	0.07024468997572836	0.2997329276342956	0.17939105276584155	0.19366497471697341	0.3272110448828899	0.05010032589196354	0.3557198736034348	0.017900041567308816	0.019276750907953853	0.2845805575316667	-186.29042147533815	1.9332809499147925	12.59897373523113	6.367005319483153	4.278417720883966	2.140923512191931	1.6392227010454636	1.7322548781688152	0.49142227542116845	0.5128133188412359	0.19150778471928523	12	12	12	12	12	12	12	11	11	11	1.8451582369565256	
4050000	-43227.647013306196	-43013.82283691503	-213.82417639116431	-42860.03994488079	0.5962976194205292	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1.3126880279899555	1.459213193626482	1.3524826852229264	1.106170389046942	0.5283532858632523	0.7856056773257909	1.7759631347588984	0.00399892737425548	0.6011924828824241	0.704436788840345	0.16579199978968398	1.6173199873486357	2.5787476108859253	0.4204865452450098	0.8277086808747318	2.9034839883473977	1.3126880279899555	0.0	0.0	1.106170389046942	0.5283532858632523	0.7856056773257909	1.7759631347588984	0.00399892737425548	0.0	0.0	0.16579199978968398	0.0	0.0	0.0	0.0	4.4535413176779526E-4	0.021679944843649247	0.295081554095276	0.18005081598082007	0.19527134738542795	0.32959628253847656	0.0474166436626621	0.2164743912863252	0.040621234684872776	0.028150266862396436	0.20566437326329848	-185.92660824291906	4.41918674038505	5.759448376093592	6.408972189231847	5.617117321022073	3.89421903903844	2.8960928349932678	1.6384127138645146	0.36160980732548276	0.1881250222159071	0.06349181720987952	12	12	12	12	12	12	12	11	11	11	3.80238489114537	
