#                <userDataType codeMap="center=0,mid-east=1,north=2,south=3,south-east=4,? = 0 1 2 3 4 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="5"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="5" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.2</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Lambda_BI_fin_v2_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.Lambda_BI_fin_v2_seqs	gammaShape.Lambda_BI_fin_v2_seqs	freqParameter.Lambda_BI_fin_v2_seqs.1	freqParameter.Lambda_BI_fin_v2_seqs.2	freqParameter.Lambda_BI_fin_v2_seqs.3	freqParameter.Lambda_BI_fin_v2_seqs.4	rateAC.Lambda_BI_fin_v2_seqs	rateAG.Lambda_BI_fin_v2_seqs	rateAT.Lambda_BI_fin_v2_seqs	rateCG.Lambda_BI_fin_v2_seqs	rateGT.Lambda_BI_fin_v2_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	PopSizes.11	PopSizes.12	PopSizes.13	PopSizes.14	PopSizes.15	PopSizes.16	PopSizes.17	PopSizes.18	PopSizes.19	PopSizes.20	PopSizes.21	PopSizes.22	PopSizes.23	PopSizes.24	PopSizes.25	PopSizes.26	PopSizes.27	PopSizes.28	PopSizes.29	PopSizes.30	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	GroupSizes.11	GroupSizes.12	GroupSizes.13	GroupSizes.14	GroupSizes.15	GroupSizes.16	GroupSizes.17	GroupSizes.18	GroupSizes.19	GroupSizes.20	GroupSizes.21	GroupSizes.22	GroupSizes.23	GroupSizes.24	GroupSizes.25	GroupSizes.26	GroupSizes.27	GroupSizes.28	GroupSizes.29	GroupSizes.30	BICEPSPopSize	
0	-47680.287687151824	-47269.25863827271	-411.0290488791174	-47054.22164088217	0.9303341377780364	1	1	1	1	0	1	1	0	0	1	0.8393424072251996	1.962235504159848	0.5502618114099708	1.5303229271308636	0.04125589544178283	0.5235746148855056	0.3160613962042537	0.9293082299846437	4.529593101630906	0.04080181879453765	0.9237832761284572	0.8393424072251996	1.962235504159848	0.5502618114099708	1.5303229271308636	0.0	0.5235746148855056	0.3160613962042537	0.0	0.0	0.04080181879453765	3.60118498380088E-4	0.0106321153792383	0.2963618850841834	0.17957566862877655	0.19671704916624574	0.32734539712079425	0.08729734613909937	0.2853741863267148	0.028319992111275203	0.043075180364351325	0.10368117065506595	-380.4888536359753	49.30192847575591	47.73286414256336	219.3508384115106	71.94549437700208	48.6693973501557	89.97527163107776	47.16189426989561	12.410703135093067	10.777741201170771	7.929654077600966	6.443750319617731	1.7068511701598656	0.43684959675737	0.6621127643385265	3.3154805622404915	7.865594638608355	1.6071193609678565	1.9867175936276837	0.8862272658473221	0.878829811619201	0.5663514717118582	0.27679951192767716	0.2744057818222072	0.37089611111305076	0.8744046987316627	0.42891116379234456	0.29000840612984524	0.23787984368828904	0.14992320358671288	0.1037168737516234	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	19.892384635935258	
600000	-47670.34725153155	-47285.80333968818	-384.54391184336794	-47068.51423825219	0.7704522830711698	0	1	1	1	0	1	0	1	0	0	1.1257015764828313	0.5506688018473909	0.3334833701545815	0.3535350098403297	1.60554514756335	1.974827698144651	0.10356564534205052	0.22505403822510556	0.9319168990026733	0.7074129263281365	2.2104303273223738	0.0	0.5506688018473909	0.3334833701545815	0.3535350098403297	0.0	1.974827698144651	0.0	0.22505403822510556	0.0	0.0	3.957642739708158E-4	0.01233414291885219	0.29535136629321235	0.1790940873679528	0.19716148966005853	0.32839305667877633	0.08248854804901862	0.27852227285980335	0.029284485824113204	0.04027329640347157	0.10590527121584416	-365.63072784281576	63.13425054356031	60.48988335930238	61.75385838459533	144.311582016347	46.231546398330565	40.65421168685258	87.24204598470655	14.386889577308454	6.6446363050416455	2.8141413776426067	3.257496408274036	2.089885388520044	3.12251811217918	4.604187043062361	1.169203821083844	4.631817909133138	0.9541009832580943	0.8496729248038353	0.5769282771110055	2.5541780274217123	1.0198357132071731	0.36320240322038044	0.363156809197853	0.2421871734792149	0.3041731240708777	0.27736016098513366	0.09418170917041738	0.09159879739860714	0.1355797351385038	0.08007279712201401	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	3.1995894503017324	
1200000	-47608.52260480515	-47286.58533769199	-321.9372671131589	-47069.32314609663	0.6336161141333295	1	1	0	1	0	0	0	1	0	1	0.18408620290241526	0.6910628523879758	1.389027343955989	0.22527414666406542	0.16510794633636033	0.6506223066586646	0.428656137552788	0.1445050448520556	0.8537005929495503	0.9197033341249433	2.471549142512209	0.18408620290241526	0.6910628523879758	0.0	0.22527414666406542	0.0	0.0	0.0	0.1445050448520556	0.0	0.9197033341249433	4.5366383171576823E-4	0.06966047895388333	0.2974953381392211	0.17668950107292888	0.19744363706179557	0.32837152372605455	0.07880906953786071	0.22811718673677794	0.032432154629288494	0.040928613090388206	0.10201091503214656	-307.5073237244185	43.6594043489344	17.206660685009794	264.90205891924666	49.87114500432948	59.22988837528271	12.118170518509055	7.125155938979393	16.587251513606102	11.98888712351299	4.689723733579586	16.073415696100017	4.578038633456866	2.00378138789628	3.3761211812419885	1.5726199941152033	0.7841030239332041	2.227248829376881	2.4749084031424804	1.6146959766817979	0.9620126698436973	0.5604396181238115	0.2844584693207913	0.31584392124183136	0.073244938592967	0.16011430913705085	0.19261854029822656	0.032353841770986436	0.022428055244796616	0.04306761438571387	0.028186084985587802	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1.1277818356497953	
1800000	-47659.65416197286	-47281.02621946741	-378.6279425054508	-47062.493455371354	0.7311644524262382	1	1	0	1	0	1	0	1	0	1	0.28459920802842026	1.038220649144446	2.004657440370082	0.47366530671528606	0.5605838429837523	1.3304859452351203	4.5886710290963935	0.4987311109171971	2.092978081942386	1.3155772747434704	2.204829186807448	0.28459920802842026	1.038220649144446	0.0	0.47366530671528606	0.0	1.3304859452351203	0.0	0.4987311109171971	0.0	1.3155772747434704	4.0244633051885983E-4	0.007789111948880863	0.2985750512181802	0.18432491773040724	0.1941755091359223	0.3229245219154903	0.08446868829796654	0.28545087293127464	0.03216178640152531	0.051345053485641036	0.10155629966404636	-349.4295182889536	82.15149415171393	68.93523440143358	100.43002619390705	107.22789867678183	48.55929390570402	31.61121856773687	9.258139535715758	10.990063468800681	7.958015743594563	15.62621100860627	11.82672005196716	5.372378850719588	2.2507457340862804	1.8208124047211593	0.9069618980404205	0.5871930654812958	0.5716217162292346	0.33797929897089385	0.25260185606108326	0.4272409646111921	0.2908488023984971	0.4422683448934752	0.38681904239392134	0.7477532354464774	0.41795555049049904	0.2905623897545721	0.23992283460986397	0.19694807461220015	0.14047709047410367	0.1017134975032724	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7.494129537254912	
2400000	-47704.44676967673	-47277.29641077225	-427.1503589044834	-47057.120371727025	0.875503508014289	1	1	1	1	0	1	1	0	1	0	1.1133341633618115	2.540084388546465	2.032988690542726	1.167773468297245	0.49343187505531405	1.1083691750119895	0.28336531260359926	0.869969420531084	1.2982274263663587	1.6448426912759784	1.1177570285861236	1.1133341633618115	2.540084388546465	2.032988690542726	1.167773468297245	0.0	1.1083691750119895	0.28336531260359926	0.0	1.2982274263663587	0.0	3.625971892676954E-4	0.08184563696351911	0.29972775013246405	0.17335347606150045	0.1978898919466017	0.32902888185943374	0.10147551333254276	0.33263743531921774	0.03529855563180164	0.04132979836278663	0.09975117922798497	-399.6368829196033	35.18938846244213	92.20678692914085	165.53699142866765	164.3702334051522	70.04512502471455	28.7822689251762	28.67333960037249	30.052478582199733	11.997675608326672	4.7115869071936265	6.624674789238941	3.7957085872331726	2.9823749068610454	1.6337874983721936	0.8645262766097288	1.0617516022945876	0.6825548294054067	0.7370573974356801	0.6360389040999818	0.7453862854407838	1.6717488692533105	1.1246517859287903	1.4452482866169734	0.8586652572744716	0.3102767068379032	0.6490664961108311	0.12047837785329615	0.2663327757882996	0.17577993244181625	0.08812803390089505	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5.401861326869594	
3000000	-47656.04342698247	-47295.44459286566	-360.59883411680937	-47074.6058907377	0.7009177006672191	1	1	1	1	0	1	0	0	0	1	0.21178463823293678	0.8511066958038974	0.37750242618084295	0.9102785273900779	0.6139661382248204	0.03516141147070598	1.2283119024972171	1.1946697474418613	0.21531008561376344	1.7621993095481316	1.5208134149713306	0.21178463823293678	0.8511066958038974	0.37750242618084295	0.9102785273900779	0.0	0.03516141147070598	0.0	0.0	0.0	1.7621993095481316	4.353206563606459E-4	0.008499430394619718	0.2958460454381676	0.18236353734268665	0.19303087804260088	0.32875953917654466	0.10107744793155288	0.248664672750965	0.03180876802904785	0.045924753012953616	0.13499392842478647	-330.7221543592636	82.65557011906812	122.93407389979674	174.374303649288	78.63923780011835	41.642374105297904	19.38172654554605	10.771969158986565	8.147156175489274	5.2446804154696505	6.433983872751728	2.9628219267121816	4.919955488969272	2.0578735245307653	7.827992794224488	2.043335343619223	2.2234533956740967	1.483112114054423	0.9102149179536326	0.9491642237481459	1.510087297652583	1.3512108105023377	0.4785593785132787	0.10365181939662357	0.12191426215493334	0.4692432522956498	0.0864257437751158	0.12854563760920532	0.03244773695705365	0.16263392406443994	0.05699110121685445	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	42.80079804747033	
3600000	-47700.64284491693	-47295.41076181787	-405.23208309906255	-47077.93463558302	0.8198905306837794	1	1	1	1	0	1	0	1	0	0	0.2917674377163094	1.0792578895091816	0.4623684878322124	0.524699453970352	0.9604689231632991	0.059497396677383255	0.11522783180673743	1.6658760916502777	0.67678114674522	0.873359642841626	1.3170262443835032	0.2917674377163094	1.0792578895091816	0.4623684878322124	0.524699453970352	0.0	0.059497396677383255	0.0	1.6658760916502777	0.0	0.0	3.3816008258989E-4	0.005861094021073303	0.3031631581006191	0.17799747195171026	0.19321767784660762	0.32562169210106284	0.08199526932105221	0.27273299037441456	0.028563749896282804	0.03869385587900007	0.11528873986558434	-378.6046971159454	63.65337346764529	165.8345157161497	167.39302579567217	96.20553413797698	103.14069855302928	40.401684628567345	24.18257421416933	20.179119156039317	29.802375741925484	12.928713415867332	16.237077424872197	3.877514213976711	2.762685728719026	2.6975118722819156	0.5629944163195966	0.7781110982735367	1.3234516762180717	0.3370017474855266	0.40959107718911447	0.22604438472038038	0.6622754189238227	0.2558185966822661	1.6363398297330058	1.8156101245347753	0.5356158688408987	0.23537628797754828	0.2020413761861123	0.11758207786346206	0.1871034897356303	0.20960104522210904	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	29.5297273479496	
4200000	-47686.32569169421	-47310.48529009483	-375.8404015993805	-47102.36661600259	0.7087010907092152	1	1	1	1	0	1	0	0	0	0	0.27637417708014983	1.4992002301030916	0.7309811844040088	0.4380881739066083	0.06863540005110144	2.263488822860443	0.9173900848674714	0.8947716506314456	0.5902907627459071	0.9190018334226725	1.5539682992158628	0.27637417708014983	1.4992002301030916	0.7309811844040088	0.4380881739066083	0.0	2.263488822860443	0.0	0.0	0.0	0.0	3.779042059146191E-4	0.014856392511995959	0.2965451163302277	0.1772521636832268	0.19507900191178412	0.3311237180747611	0.09824071052900796	0.26739160991110966	0.03692407321684948	0.05251194214088936	0.13879823017881746	-353.7303280477735	90.79537979488572	48.7912669630275	114.38908889129259	69.75590049753782	36.077433923515926	63.02853938968222	26.013801052619353	29.841526464073723	10.850695900369756	3.1607926534029342	2.035623550268302	4.498572838459576	3.4496251962479794	2.0809515248006605	0.7107848940091948	0.5827961100118283	0.9954696138755739	1.3785735660834189	1.4429039239099684	0.9814170405422272	0.6767572020715289	0.6382445364128587	0.55736676570504	0.6932432685206892	0.35272109146825015	0.147357349282846	0.1430737942532759	0.148530781018208	0.12500577823567527	0.06955219445320712	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6.232207911962509	
4800000	-47703.005567415064	-47297.193212750615	-405.8123546644493	-47080.03083372896	0.7356192999481074	0	1	1	1	0	0	1	0	0	1	0.9906493779581033	0.6226807035715336	0.33189627202537975	0.43186399355681454	1.5357188437594376	1.3991196775498738	0.9686173945923947	2.3830539151807373	1.5668480527069206	0.19381312974508957	1.8288415350661869	0.0	0.6226807035715336	0.33189627202537975	0.43186399355681454	0.0	0.0	0.9686173945923947	0.0	0.0	0.19381312974508957	4.0120766978962285E-4	0.01911033230715596	0.2951048755166985	0.18045101744150197	0.19600525864879045	0.32843884839300874	0.07958559666708123	0.25473719421430974	0.03958487200344491	0.028428190187540635	0.12629727322183074	-380.5695405797563	58.2465495746552	85.30102647253004	310.2072574661947	120.16786304208027	81.85357069712482	10.68900042739874	14.8946174806377	45.96139188885588	9.380717343482077	12.808591075327898	4.223010254712201	2.424084872080609	3.06561730475497	2.723807761226173	5.495028730154894	1.1229700040044117	0.44366660871234737	1.5990856295382574	0.5482320764857823	0.20027372539278987	0.7775172308342985	0.9148742774511006	0.6876398122625512	0.5825726364039945	0.4187338948022259	0.45377228410046594	0.5155755985588727	0.1668692553085772	0.1763105962428389	0.07893957643744348	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	10.84494825847288	
5400000	-47658.84215485198	-47308.90545940785	-349.93669544413	-47093.15906792166	0.6883538350041731	1	1	1	1	1	1	0	0	0	1	0.5882094875343086	1.9456997164657848	0.8049346818791919	1.0556467771667193	0.31598190468546594	3.9905212239924457	2.6837075632733014	0.2718664085117978	0.21761568157885736	0.6254235981069579	1.7659392390247315	0.5882094875343086	1.9456997164657848	0.8049346818791919	1.0556467771667193	0.31598190468546594	3.9905212239924457	0.0	0.0	0.0	0.6254235981069579	4.200642790616188E-4	0.048981632727897226	0.3013889348577879	0.18126833390878985	0.194467966926879	0.3228747643065428	0.0729057505586934	0.26107605545549345	0.0327111829791756	0.031746649213709885	0.13537678815185047	-315.90853783763424	105.39422417249577	80.11116106351432	214.25631637416885	114.89728629047035	41.12668076064575	34.66290183978707	17.635651556591498	13.212888068284126	15.16425911043704	6.986775128192205	2.0912403822801386	1.4628888988056974	0.9995756652699314	0.42785824008775375	0.22925548242279217	0.7665523559704893	0.8672402573178425	4.609704305259719	4.612581119112414	0.9722408476767246	1.5939082963308835	1.1706306070871608	0.44054517479173566	0.22490086952936547	0.1399944762537018	0.13692010638296306	0.05147748016885152	0.06866792608305428	0.020189391540259775	0.032238205919604135	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	28.740595800973406	
