#                <userDataType codeMap="center=0,mid-east=1,north=2,south=3,south-east=4,? = 0 1 2 3 4 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="5"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="5" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.2</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Lambda_BI_fin_v23_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.Lambda_BI_fin_v23_seqs	gammaShape.Lambda_BI_fin_v23_seqs	freqParameter.Lambda_BI_fin_v23_seqs.1	freqParameter.Lambda_BI_fin_v23_seqs.2	freqParameter.Lambda_BI_fin_v23_seqs.3	freqParameter.Lambda_BI_fin_v23_seqs.4	rateAC.Lambda_BI_fin_v23_seqs	rateAG.Lambda_BI_fin_v23_seqs	rateAT.Lambda_BI_fin_v23_seqs	rateCG.Lambda_BI_fin_v23_seqs	rateGT.Lambda_BI_fin_v23_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	BICEPSPopSize	
0	-47540.683924863224	-47115.66134564538	-425.02257921784707	-46892.85454012043	0.7480454225812756	0	1	1	1	0	1	1	0	0	0	1.7933434538475472	1.0190009407734673	0.18050695010354656	0.66491709884403	1.1588472528388734	0.5483060371774319	1.8016529881869205	0.48096002695280515	0.46399460704514567	0.7534445032779193	2.235159173290974	0.0	1.0190009407734673	0.18050695010354656	0.66491709884403	0.0	0.5483060371774319	1.8016529881869205	0.0	0.0	0.0	4.3079264919935215E-4	0.027078580163250265	0.30001055502008417	0.17825268692727392	0.19584792432910286	0.32588883372353933	0.10621229357594718	0.3000357310196804	0.037359297002442164	0.07028627312571269	0.16612349642827434	-401.9499403852359	81.03567405538139	52.19680631332695	16.814866465125746	8.253760869840349	7.381812607217805	1.7785226893460422	1.6448879468268254	0.44357578519229063	0.22402048736393088	0.08828024699743271	19	18	18	18	18	18	18	18	18	18	5.636344282983849	
360000	-47464.75921752309	-47105.93585917302	-358.8233583500678	-46897.10067520692	0.6881433975300699	0	1	1	1	1	0	1	0	0	0	2.032286655691916	1.4004832088824088	0.7735129470538465	1.3929194607722766	0.554724591268768	0.6628715569658777	3.3178469363907697	1.1390633559530012	0.6185071638574702	0.5091403609303405	1.5551401666620346	0.0	1.4004832088824088	0.7735129470538465	1.3929194607722766	0.554724591268768	0.0	3.3178469363907697	0.0	0.0	0.0	3.968262175344378E-4	0.016858798391097506	0.2967798818050362	0.18237621297729367	0.19005398146908922	0.3307899237485812	0.0767359834262489	0.3410705795651958	0.026556562520589525	0.060640775785370624	0.20786578152589633	-333.48299745851824	62.35974999897398	54.042396216341935	28.07176955888122	8.352175939324166	3.5243416506512752	1.1973486211235047	0.4084938603207162	0.29302140789660336	0.18792178067287058	0.10040459782827538	19	18	18	18	18	18	18	18	18	18	4.875040183407056	
720000	-47499.77450225054	-47103.46608398782	-396.3084182627226	-46885.490520537176	0.7328253166834571	0	1	1	1	1	0	1	0	0	0	1.0492953689266975	0.34170545238203526	0.17406932660173194	0.17817086023063153	0.11962284140271028	2.432950971179658	0.45407840985233305	1.9482255685196257	0.5481561577799147	0.5587164332834544	1.9238360211208931	0.0	0.34170545238203526	0.17406932660173194	0.17817086023063153	0.11962284140271028	0.0	0.45407840985233305	0.0	0.0	0.0	5.096060989257473E-4	0.012619009336306036	0.29492321239307395	0.1783598749036379	0.19730158346688748	0.32941532923640093	0.08826126666384843	0.26920659804549396	0.04784331985267835	0.05327216926626991	0.14752471256454872	-372.6560543505562	52.711334041416045	63.2776546030762	20.844049321494584	16.916601718133492	4.177142776859239	1.1030358855869384	0.636789914014582	0.2557164015503195	0.3843201298830841	0.3017266254545467	19	18	18	18	18	18	18	18	18	18	10.575470659292787	
1080000	-47535.43986842048	-47111.024590256326	-424.41527816415675	-46890.203051087374	0.8248751518451788	0	1	1	1	0	0	1	0	1	0	1.1775841795135598	0.5545134240545989	0.21061487233695514	0.47172267134449447	6.814738100609895	0.6103372606334085	1.3270621414278418	0.017168699221312294	0.961519944522147	1.0881348285391206	2.715358951511109	0.0	0.5545134240545989	0.21061487233695514	0.47172267134449447	0.0	0.0	1.3270621414278418	0.0	0.961519944522147	0.0	5.180969623593633E-4	0.08647569878404354	0.29419707904144704	0.1782399525722079	0.19567215507370955	0.33189081331263576	0.06036506699240934	0.24422504852291888	0.028724841021783753	0.037787890781094624	0.17059940173647836	-397.6984189444681	47.4329882315383	37.09585741956698	17.773008688539203	14.011217696127	4.581791116856817	1.851967175089035	0.7800590594529324	0.2912096684974906	0.3385612362340514	0.27853611676672624	19	18	18	18	18	18	18	18	18	18	6.711107222661096	
1440000	-47540.120161585095	-47110.635556520036	-429.48460506506217	-46889.64672957979	0.7772066004401231	0	1	1	1	1	0	1	0	0	0	1.6138436431722973	1.8340309763251605	1.0291288432597734	2.431572634777119	0.9901212124882017	2.096212232259427	9.805904230842012	0.0854721512432442	0.2956374152067002	0.3738969998520111	2.4644383838558124	0.0	1.8340309763251605	1.0291288432597734	2.431572634777119	0.9901212124882017	0.0	9.805904230842012	0.0	0.0	0.0	4.178005147376081E-4	0.2606832152885393	0.2963303008975035	0.1781478524421209	0.1969233348853652	0.32859851177501065	0.049595663291264996	0.2448244652384118	0.02719304324665402	0.03400037688983866	0.17875387755788907	-396.5584645700214	99.71087516158043	24.599898109238698	34.76779326714374	14.565039504830063	3.8282230454647483	2.350936247881944	0.4289448483691557	0.2859757224425611	0.24456338825964002	0.13111974629265163	19	18	18	18	18	18	18	18	18	18	5.09943230691813	
1800000	-47490.71736276661	-47093.74129423711	-396.9760685295042	-46879.15222406733	0.7130869396987219	0	1	1	1	1	1	1	0	0	0	0.7140160042643731	0.7648501092126709	0.37580420876131704	0.2635925386093591	0.785744548184075	0.294915397721456	1.4117800719473137	0.043968911862074245	3.0945813564439804	0.13043530437356102	1.6299645756725398	0.0	0.7648501092126709	0.37580420876131704	0.2635925386093591	0.785744548184075	0.294915397721456	1.4117800719473137	0.0	0.0	0.0	4.2385234111474594E-4	0.047184446217806264	0.29863130644555386	0.17824950153909783	0.19684446522788807	0.32627472678746033	0.05489408757294355	0.23883041958048543	0.027937913474277928	0.03608303686896683	0.16034215928373896	-379.26466871065287	81.76643374752352	53.52020537808206	35.889426554315584	12.45405291819006	4.298386313887729	2.470824149221662	0.873185990470111	0.38766946080597636	0.13544563855153563	0.08683471123693474	19	18	18	18	18	18	18	18	18	18	1.546576229728105	
2160000	-47458.88994037283	-47104.35437172887	-354.53556864395466	-46893.37536859723	0.6290459885453187	0	1	1	1	1	1	1	0	0	0	0.7753236705289301	2.0551767192786237	1.1812604348099427	3.0795927767173206	1.3999493563595136	0.6550594300291894	1.9456542667359693	1.404586136932793	0.4306378464692545	0.3581119933509346	1.6591219716823926	0.0	2.0551767192786237	1.1812604348099427	3.0795927767173206	1.3999493563595136	0.6550594300291894	1.9456542667359693	0.0	0.0	0.0	4.534524439467553E-4	0.03606044729016529	0.29905584713970834	0.18110182091762936	0.19213909756668415	0.3277032343759782	0.06602294775992597	0.22974644364573038	0.019380705402534927	0.042623727015102794	0.15980227063884134	-325.8558913821915	66.86229651896585	49.587767583763	24.220764672188626	6.634518546322981	3.3054007170177977	0.818111445655578	0.6184974391143628	0.15582003715706202	0.2356327128594866	0.0819038278589967	19	18	18	18	18	18	18	18	18	18	10.683891015318844	
2520000	-47522.901960954034	-47129.485046308335	-393.4169146456994	-46913.07687077868	1.0081956734130844	0	1	1	1	1	1	1	0	0	0	1.3777200471051538	1.2897873940959983	0.9465601183779953	0.8310265917898104	0.8660166540560493	1.070410801818338	0.5085189468709457	0.39359354891354187	0.32943413412824274	0.10633251777877405	1.9936332969266253	0.0	1.2897873940959983	0.9465601183779953	0.8310265917898104	0.8660166540560493	1.070410801818338	0.5085189468709457	0.0	0.0	0.0	4.7697312642579643E-4	0.043933940719834474	0.2999631098409655	0.17814904187684005	0.19735380378046208	0.32453404450173245	0.07019152678916013	0.25144506858833726	0.017197693852427216	0.0707064846019881	0.17037678773418538	-370.8218791687626	58.027472805824964	39.72556131876801	23.32636907991174	7.66828542392687	2.066951772467344	1.5484525325406704	0.9702151919354287	0.5271518066148103	0.16299042966159064	0.12566368668834146	19	18	18	18	18	18	18	18	18	18	7.539965788278274	
2880000	-47497.88403979896	-47101.81576243678	-396.0682773621844	-46890.24621800045	0.7652816271638061	0	1	1	1	0	0	1	0	0	0	1.3636567517763547	0.5190216227187756	0.2704975790304872	0.4574281459869458	0.9882907493642445	0.7791367853367255	3.7991145203015706	0.06766771971891906	4.455117013903862	0.014926993804217418	3.8490000675670344	0.0	0.5190216227187756	0.2704975790304872	0.4574281459869458	0.0	0.0	3.7991145203015706	0.0	0.0	0.0	4.493860614522331E-4	0.07058253145777794	0.30064438464384396	0.17986109005052506	0.19749560093503707	0.3219989243705942	0.06022553136282313	0.23249838048264324	0.02306277847151316	0.032638904686491735	0.16850959499595877	-371.74039836127145	42.381513817877256	47.468014936413724	23.262543950169714	9.004999064531036	3.812330578228517	1.9646140254863678	0.9153484279116222	0.25430977540221367	0.25746905069731996	0.08310793936351601	19	18	18	18	18	18	18	18	18	18	4.2838509996193785	
3240000	-47485.94638571856	-47112.26001204446	-373.686373674101	-46895.42987118408	0.6930519689616434	1	1	1	1	0	0	1	0	0	0	0.33625252456303406	0.7960802660807459	0.4328717340623097	1.0062748797846381	0.44567516991465944	0.3488166081697876	1.357132052643665	0.04239440619055236	0.7505713394578171	2.3219321970290223	1.2563949849580822	0.33625252456303406	0.7960802660807459	0.4328717340623097	1.0062748797846381	0.0	0.0	1.357132052643665	0.0	0.0	0.0	4.7789539590125936E-4	0.016501634403227276	0.3001286045496611	0.18029198517624193	0.19198666005438875	0.3275927502197084	0.05880852174885598	0.2566928866097009	0.02343025869315213	0.038037071571865	0.15412002530839247	-350.12445137687865	61.46188474653163	65.17910660803996	18.063487696452135	10.093275176451765	4.654912557954821	2.2272492128150847	0.9384813541942401	0.2640746382878402	0.1459629611664063	0.06544837937400108	19	18	18	18	18	18	18	18	18	18	16.03788474465989	
