#                <userDataType codeMap="center=0,north=1,north-east=2,south=3,south-east=4,? = 0 1 2 3 4 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="5"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="5" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.2</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SubG1_BI_fin_v22_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_north-east	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_north_north-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_north-east_south	geoSubstModelLogger.location.relGeoRate_north-east_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.SubG1_BI_fin_v22_seqs	gammaShape.SubG1_BI_fin_v22_seqs	freqParameter.SubG1_BI_fin_v22_seqs.1	freqParameter.SubG1_BI_fin_v22_seqs.2	freqParameter.SubG1_BI_fin_v22_seqs.3	freqParameter.SubG1_BI_fin_v22_seqs.4	rateAC.SubG1_BI_fin_v22_seqs	rateAG.SubG1_BI_fin_v22_seqs	rateAT.SubG1_BI_fin_v22_seqs	rateCG.SubG1_BI_fin_v22_seqs	rateGT.SubG1_BI_fin_v22_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	BICEPSPopSize	
0	-42771.128473055454	-42615.36534295039	-155.76313010506516	-42502.142309867246	0.8042532470759559	1	1	1	1	1	0	0	0	1	0	0.9535996807948536	1.1317554517379682	0.7651161723835576	0.3254977446390875	0.9517711302428259	0.3201242935412754	1.439895389415391	1.1591063682750515	0.3023103808941457	1.71962834163433	1.3272669307995713	0.9535996807948536	1.1317554517379682	0.7651161723835576	0.3254977446390875	0.9517711302428259	0.0	0.0	0.0	0.3023103808941457	0.0	5.268891291331656E-4	0.03541288179527367	0.3042370126042556	0.18165537249229224	0.19741158758339072	0.31669602732006125	0.0664247157043999	0.3214555455852602	0.04135277056926139	0.0348908646357066	0.1531644742012371	-134.56239080006975	4.188480308491168	3.2399038277104686	5.157299255239331	1.4992839180412247	1.9933053659677087	0.9642056774036493	0.285041459630978	0.3604362397675224	0.26589712195065257	0.14773397082219178	13	13	13	13	13	13	12	12	12	12	3.2960335221743216	
450000	-42715.50037013377	-42601.98786068597	-113.5125094477979	-42505.27650478178	0.6079279551062591	0	1	1	0	1	0	1	1	0	0	0.238693922920246	1.843394681720427	0.29623145972795756	0.1453909691211011	2.877772776198593	2.6115346567979767	0.9528027449894472	0.388230036706051	0.5737706303784873	1.2363840450940313	2.581502601663753	0.0	1.843394681720427	0.29623145972795756	0.0	2.877772776198593	0.0	0.9528027449894472	0.388230036706051	0.0	0.0	6.786702012744339E-4	0.08936354152561347	0.30346567228607096	0.18473392446268472	0.19058636104740165	0.3212140422038425	0.08847349129339804	0.23544022821837662	0.031602539500053636	0.001852015172788682	0.20025727000236204	-94.1764769028195	1.4744831554366398	3.2981236553281046	5.49241359405846	4.07345457374449	0.9108414093167772	0.6018055999714925	0.2414866307513793	0.2735019745155119	0.15660033297916662	0.045500894408681505	13	13	13	13	13	13	12	12	12	12	2.399029096340838	
900000	-42743.07926025929	-42597.44401795576	-145.6352423035384	-42501.60295590003	0.6666360313010424	1	1	1	0	1	0	0	1	1	1	0.7238065298554223	1.290709063200792	0.8812219059216743	0.21611736835894496	0.22570057821472	2.842302781988151	0.12292831432356423	0.7967311638548983	0.8706690679646562	0.13566944313106308	1.4303076772080128	0.7238065298554223	1.290709063200792	0.8812219059216743	0.0	0.22570057821472	0.0	0.0	0.7967311638548983	0.8706690679646562	0.13566944313106308	5.654748750811387E-4	0.004591983846863654	0.29813457112354436	0.18010881697717734	0.19515409863456068	0.3266025132647174	0.028008973977947254	0.23197826331190805	0.00934029923426344	0.0014195435915866157	0.13285718841513913	-129.4417251890697	2.4697154055769546	3.3110686103661044	3.7394058406787143	3.2394728136949413	1.3033900751944936	0.9627628667323627	0.7394735628754056	0.23410692517923717	0.13341644041744355	0.09669103467553669	13	13	13	13	13	13	12	12	12	12	3.5260373546526558	
1350000	-42758.42805157068	-42591.80084723126	-166.62720433941962	-42484.79311925577	0.663864164770706	1	1	1	1	1	0	0	0	1	0	3.209657978346744	2.3681767349074914	2.00774702090599	0.14891588991764323	0.3430367880767017	0.47719986338417497	0.7771070577957117	0.05585358987540581	1.5632943012159592	1.3476609567278037	1.6864617955761536	3.209657978346744	2.3681767349074914	2.00774702090599	0.14891588991764323	0.3430367880767017	0.0	0.0	0.0	1.5632943012159592	0.0	5.466668165693889E-4	0.03743573535321347	0.30342253227341004	0.17928485123076074	0.19292216797106018	0.32437044852476893	0.05991372796552748	0.20395567202144074	0.020754976645369943	0.010426424300014359	0.13491626547048238	-144.05712458723187	2.6916152530960007	4.519320962748774	3.3076473767414005	3.3932321155029905	0.9618563136968458	1.34856531257524	0.8499260826699729	0.5882349254001416	0.20536050501675096	0.128054248709071	13	13	13	13	13	13	12	12	12	12	3.7606659064163943	
1800000	-42738.40972433237	-42571.91803670892	-166.49168762345238	-42471.926942353835	0.6426415028513184	1	1	1	0	1	0	0	0	1	1	1.3386630265351316	2.119660783810119	0.4689260716936575	0.46583084153766535	1.3019869062004639	0.14521411505961965	1.5976222784908198	3.1925236188381234	1.0799383903282376	0.3965596678261108	1.615288038917266	1.3386630265351316	2.119660783810119	0.4689260716936575	0.0	1.3019869062004639	0.0	0.0	0.0	1.0799383903282376	0.3965596678261108	5.732624865391975E-4	0.35941804816860135	0.2981128963419622	0.182648723765013	0.1962876893144786	0.32295069057854603	0.07025896732179446	0.28552778929195893	0.027330033172962835	0.014528941516748209	0.19656357175080982	-142.91228093533408	2.9399552550471038	4.652931899040592	5.7209735985839005	1.6434127017399398	0.717454800031771	1.3986997003973551	0.6278577332287807	0.3845643701413827	0.3705519749149891	0.16896709924939948	13	13	13	13	13	13	12	12	12	12	3.1376111156093085	
2250000	-42714.88028211509	-42583.49698083231	-131.38330128277872	-42477.91429135778	0.6443786527308301	1	1	0	0	1	1	0	0	1	0	0.8073977294387036	0.5260845446467501	2.089171885196998	0.5899724617140552	0.7641082168408707	1.3531375873341993	0.5832726606795855	0.6539494261195564	0.6642019390819582	0.03712931561764954	3.215181522267892	0.8073977294387036	0.5260845446467501	0.0	0.0	0.7641082168408707	1.3531375873341993	0.0	0.0	0.6642019390819582	0.0	6.393437762930306E-4	0.08528787672053435	0.2976656160816283	0.18131123674768024	0.19571236711073026	0.3253107800599611	0.081903074501683	0.27327709903133135	0.04119230675895003	0.017077264877059493	0.18543580952611602	-114.24889536232796	1.440232793396559	4.930456720309177	3.4487024424270665	4.1101265883390985	1.028857529303064	0.6189751976827	0.5145034928460421	0.4394254967431511	0.18229559382400695	0.0660698186547601	13	13	13	13	13	13	12	12	12	12	1.0094481234778172	
2700000	-42738.73364214262	-42608.02096295117	-130.71267919145907	-42496.16538027969	0.6292162342191556	1	1	1	1	1	1	0	0	1	1	1.2458906129904623	0.8236873693014528	0.39694630322077207	0.7787941898554831	0.372063349718943	0.093568549819556	1.5520098338566926	0.2379200040987205	0.12841197612888322	0.18924102465559592	1.409729224402627	1.2458906129904623	0.8236873693014528	0.39694630322077207	0.7787941898554831	0.372063349718943	0.093568549819556	0.0	0.0	0.12841197612888322	0.18924102465559592	6.468826125523541E-4	0.005014669430935249	0.298221962819527	0.1847543985627403	0.194234799900549	0.32278883871718334	0.05254179081794937	0.23388820272615501	0.026814265251233916	0.007488589060478424	0.2272994973360683	-112.50252695227067	2.536004113640555	3.052053444441594	6.63675243653766	2.598475640824603	0.47735491455292955	0.5290427551875877	0.4987156547105925	0.38367849437082974	0.117398404168787	0.07095274175941758	13	13	13	13	13	13	12	12	12	12	2.2426338632413274	
3150000	-42738.84723663079	-42592.4703752645	-146.37686136629264	-42491.96868763548	0.6446950223756542	1	1	1	0	1	0	1	0	1	0	0.8053428956699122	0.7160164009992447	0.26166154862041324	0.003013809190503067	0.6062639006248655	0.8077867769568438	0.7898117820664254	0.40584068595953926	0.6412858982558411	0.11207270643763304	2.221523176548712	0.8053428956699122	0.7160164009992447	0.26166154862041324	0.0	0.6062639006248655	0.0	0.7898117820664254	0.0	0.6412858982558411	0.0	6.418541667963394E-4	0.16248431577830202	0.2990630069503593	0.18010254403583506	0.1976093551583856	0.3232250938554197	0.08522183190188376	0.37220902986097054	0.020956329985993588	0.0043757695386706374	0.1449292447350831	-130.10761708736132	2.8491314969698402	2.511352364256023	4.276726933219484	2.9839775650805667	1.3619137818719496	0.9094994248365733	0.7468780402302005	0.38489872041938156	0.2501457902612854	0.07665260520127122	13	13	13	13	13	13	12	12	12	12	4.142671133126839	
3600000	-42726.26089728561	-42588.07023347387	-138.19066381174267	-42486.92413950665	0.6623696441491427	1	1	1	0	1	0	1	0	0	0	0.1941598375033297	0.5413607524757321	0.1361431679298987	0.9692190668759078	0.7530931065924731	0.2536189872311942	1.143633777308914	0.08205593074751588	0.1066543288249919	0.9426418254175791	1.795347928064414	0.1941598375033297	0.5413607524757321	0.1361431679298987	0.0	0.7530931065924731	0.0	1.143633777308914	0.0	0.0	0.0	5.754581499995225E-4	0.10677110201353074	0.2984600367666908	0.1822206621693458	0.19543781710571903	0.32388148395824395	0.08550849605696008	0.26121916422482494	0.028201864253400384	0.03677034980766366	0.12450475887470534	-122.08193748368659	2.4196365811143328	1.5930955969002891	3.013126201831253	3.1645874666396017	1.1471645104742696	0.886997631296889	0.39525545014953317	0.5426182467342827	0.3042206046140871	0.09346436577359839	13	13	13	13	13	13	12	12	12	12	3.3124181464990725	
4050000	-42704.29709256826	-42594.73709094894	-109.5600016193201	-42500.148308432385	0.5860903418997168	1	1	1	0	0	0	0	0	1	0	1.771480909000744	1.3600490810759696	1.4691082661363208	0.08251700371873533	1.5818909642674668	1.634714706066207	0.7749670128573257	1.1798678671062737	0.834281775213944	0.6684513571793885	1.6321695235438287	1.771480909000744	1.3600490810759696	1.4691082661363208	0.0	0.0	0.0	0.0	0.0	0.834281775213944	0.0	6.157645578697632E-4	0.4671925843462567	0.30302679248616965	0.17868732366290155	0.19853800492039989	0.31974787893052853	0.07477871346587088	0.20706216779080874	0.030471326639259232	0.009619113094510252	0.1496705824068607	-89.64888206753548	2.5010214958956873	2.5746542483529833	7.310707611455623	1.9877829587792828	0.8859991452801631	0.27883289954076784	0.08927439627275055	0.4554252344320706	0.32675282593783467	0.04229720216412371	13	13	13	13	13	13	12	12	12	12	2.264799192505916	
