#                <userDataType codeMap="center=0,mid-east=1,north=2,north-east=3,south=4,south-east=5,? = 0 1 2 3 4 5 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="6"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="6" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.16666666666666666</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SubG3_BI_fin_v2_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	rateIndicator.location.11	rateIndicator.location.12	rateIndicator.location.13	rateIndicator.location.14	rateIndicator.location.15	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	relativeGeoRates.location.11	relativeGeoRates.location.12	relativeGeoRates.location.13	relativeGeoRates.location.14	relativeGeoRates.location.15	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_north-east	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_north-east	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_north-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_north-east_south	geoSubstModelLogger.location.relGeoRate_north-east_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.SubG3_BI_fin_v2_seqs	freqParameter.SubG3_BI_fin_v2_seqs.1	freqParameter.SubG3_BI_fin_v2_seqs.2	freqParameter.SubG3_BI_fin_v2_seqs.3	freqParameter.SubG3_BI_fin_v2_seqs.4	rateAC.SubG3_BI_fin_v2_seqs	rateAG.SubG3_BI_fin_v2_seqs	rateAT.SubG3_BI_fin_v2_seqs	rateCG.SubG3_BI_fin_v2_seqs	rateGT.SubG3_BI_fin_v2_seqs	gammaShape.SubG3_BI_fin_v2_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	PopSizes.11	PopSizes.12	PopSizes.13	PopSizes.14	PopSizes.15	PopSizes.16	PopSizes.17	PopSizes.18	PopSizes.19	PopSizes.20	PopSizes.21	PopSizes.22	PopSizes.23	PopSizes.24	PopSizes.25	PopSizes.26	PopSizes.27	PopSizes.28	PopSizes.29	PopSizes.30	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	GroupSizes.11	GroupSizes.12	GroupSizes.13	GroupSizes.14	GroupSizes.15	GroupSizes.16	GroupSizes.17	GroupSizes.18	GroupSizes.19	GroupSizes.20	GroupSizes.21	GroupSizes.22	GroupSizes.23	GroupSizes.24	GroupSizes.25	GroupSizes.26	GroupSizes.27	GroupSizes.28	GroupSizes.29	GroupSizes.30	BICEPSPopSize	
0	-43191.074229049125	-42976.342660120616	-214.73156892850682	-42830.74439486217	0.5838445053493184	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1.4619886930576897	2.6069458018402796	0.6507283962674447	0.8439125154245515	0.8587479736500538	0.4080068124006171	0.31364060181818115	0.16885410279428417	1.4822683787878206	0.2650411384714737	0.4195899869708866	0.5974156815700421	0.45599719500105335	0.043593057157711806	2.1203010079606273	6.679460569708561	1.4619886930576897	0.0	0.0	0.0	0.8587479736500538	0.0	0.31364060181818115	0.0	0.0	0.2650411384714737	0.0	0.0	0.0	0.043593057157711806	2.1203010079606273	4.2153057056659217E-4	0.29459292016154864	0.18162315866123502	0.1975622548131001	0.3262216663641168	0.06616778546417583	0.20730415799489202	0.028550260909952142	0.0344788089364908	0.2686558630782855	0.14440577855025272	-187.23394171820067	4.024202935131884	2.3071499106613373	6.9542938406718395	7.751308386060026	9.067561198494431	18.541650015315557	6.870520076477602	2.545189877579796	2.688010698069496	17.601331803832153	4.101733890986446	7.95945774303812	16.552430757354465	6.735241126572221	7.181840939699686	2.28782927253372	5.135760672404922	4.4989524711862385	0.8355156873949798	0.34234437782600513	0.48077982916433815	0.1529517815358474	0.18569859578702522	0.2996394065792548	0.25470859423925857	0.3472820375795861	0.21018131905167464	0.11101794396960071	0.08309154908297706	0.1871025678651659	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	6.865733584988181	
900000	-43197.511411619875	-42989.9935872801	-207.51782433977505	-42848.909769403814	0.6411367726633301	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1.1191649179697931	0.6738946797154843	1.7710410749801837	0.494647840598505	0.5206078800275256	3.223881415978677	0.6228922589860568	0.5147835932723983	0.446674430894565	0.44321412840668595	2.6897310492490174	1.0697395640129586	0.1101965218452259	2.3214858460121732	0.9022647995348243	4.640698500993042	1.1191649179697931	0.0	0.0	0.0	0.5206078800275256	0.0	0.6228922589860568	0.0	0.0	0.44321412840668595	0.0	0.0	0.0	0.0	0.9022647995348243	5.110033455195606E-4	0.2958183872687631	0.1811062044790803	0.1985267138066788	0.3245486944454783	0.04904729125718353	0.17747963173019304	0.01905131923403797	0.008093477918798497	0.19846709566638765	0.3682984368682421	-183.045181749158	1.1807711407621286	3.2805122677208525	9.072411250290537	5.579767686275377	6.24913286596191	24.637677223949666	11.204630315385703	10.216220728300208	9.839594875669935	5.756452147159978	4.566282019025516	2.817347783856149	0.7486184774061955	9.143728673942178	12.891660603767901	3.0881705493554326	8.022293940455238	1.1569448657871264	0.39093539935231375	0.4319502852215326	1.0334492372272133	0.5307124731617753	0.35764500926827886	0.1075664547764257	0.06034932476061972	0.295845511162396	0.056575876203596144	0.07404306149334693	0.08824497214677617	0.03838338412342992	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	1.3511419962724704	
1800000	-43214.02551356792	-42991.688018575296	-222.33749499262532	-42848.9831960599	0.5793391942006014	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1.0381235084305453	0.08257311349494585	0.751052156963212	1.080607598956176	0.15169925669749695	0.8924129456738099	0.5052183021485208	0.03402252262155585	0.5198713467785877	0.4362321511113321	0.7478112529534251	0.9306182746197305	0.10116254512940201	0.7001048727195027	0.41131235584700504	3.1934188885566948	1.0381235084305453	0.0	0.751052156963212	0.0	0.15169925669749695	0.8924129456738099	0.5052183021485208	0.0	0.5198713467785877	0.4362321511113321	0.7478112529534251	0.0	0.0	0.0	0.41131235584700504	3.721075819100002E-4	0.2986982078495267	0.179787278575706	0.1965606079255741	0.3249539056491937	0.07380700748247035	0.23973617976130143	0.011753006498728824	0.018239425023713354	0.19703735105291226	0.5365512039085002	-201.0206317660942	2.1483412745890607	10.936855872950725	8.266406702461346	9.75126706255263	15.243248973379146	13.945017786555056	10.639757329269427	2.298817909298215	10.33468334207213	8.437292376021507	5.192823051667297	14.247408143787103	3.9904967191679774	10.35845650870745	7.22027957314203	3.3120999827041357	1.1699509191520865	2.213288177383473	0.9716645703055381	1.383592215023844	0.232868892520957	0.4756809761400748	0.586208118363657	0.2662935668535149	0.2086960658241833	0.13647377125066618	0.24193893994582585	0.09907101953692744	0.0516850697870038	0.06498976215323866	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	1.3223841024863603	
2700000	-43152.97255448561	-42958.414931153195	-194.5576233324188	-42831.80288237546	0.575113441599091	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0.6102742749268294	0.4318476908979977	0.7290494002441088	0.11783074303792727	0.3234016100478921	1.6424931114928636	0.21511773464097855	0.5833528803989392	0.8205488311985801	0.43209424615124753	1.0679670903460419	0.015692016796384194	0.17225065090510325	1.1411603572800753	1.0665467656465415	3.392047399439922	0.6102742749268294	0.4318476908979977	0.0	0.11783074303792727	0.3234016100478921	0.0	0.21511773464097855	0.0	0.0	0.43209424615124753	0.0	0.0	0.0	0.0	1.0665467656465415	4.840540046852509E-4	0.29833568322005755	0.1847570808157222	0.1950378013481199	0.321869434616101	0.0850947383222502	0.22986885033672216	0.013035398713129228	0.024549495202169494	0.23020552283420603	0.16677235811533156	-171.74407379752031	1.8757341605010864	1.670361197594648	5.756649634087313	7.410404200296793	8.42812988367392	7.97294049502933	3.4395352953944194	2.208542728217986	10.16230763186707	6.178775053555479	22.172874564523852	5.708131533343515	7.069123511589744	3.0581907969221938	1.3198509774798148	1.645449620999657	2.248966450041371	0.5021091448220153	2.1251980624481797	0.6226792863854907	0.48366515926091014	0.11769881542478257	0.15734635965875135	0.27323848786848726	0.13609629779681284	0.07601927964644586	0.3905759460175837	0.11268756058647454	0.07822782101388773	0.05120498987918614	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	5.258516718307983	
3600000	-43167.7393062613	-42983.36036320736	-184.3789430539429	-42855.094510333605	0.5649810335189281	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	2.691122414322071	0.7546194545413705	0.08419722923116532	2.3581991127736246	1.0038706444963972	0.2489905270620823	0.4774557127904321	0.30401467617159467	0.31028539974704833	0.585970123087068	0.19073231887065248	0.13604957447257854	1.2949977725030115	1.5359091713918827	0.7896447309301443	2.7117726457766773	2.691122414322071	0.0	0.0	0.0	1.0038706444963972	0.2489905270620823	0.4774557127904321	0.30401467617159467	0.0	0.585970123087068	0.0	0.0	0.0	0.0	0.7896447309301443	4.502659186139988E-4	0.3027483622813691	0.18176560056150134	0.19266632749085344	0.322819709666277	0.07816881566535583	0.25877880786753993	0.017694823310443978	0.03859840351489414	0.22584845855551322	0.10334323436119193	-162.3983191238497	1.8472859822228422	3.3970503424774803	3.6660948631471224	6.661262568665075	14.77001772194817	14.550992364253917	11.83789479174874	23.73074371929443	7.263765682592784	10.388261098491215	5.014611126846365	8.356881435422196	4.7805481859448635	7.291211854099626	5.318105770463273	3.1805756016157782	1.29766596641949	1.174095910945361	0.654096088952213	1.0187546119824833	0.5072841002799506	0.30668071546112624	0.29421828797083394	0.08218923223603421	0.05174130306313374	0.08794262730584503	0.08011091251190015	0.10025742155422096	0.13754817398571234	0.021335965434652597	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	0.49319224942242057	
4500000	-43205.001119799876	-42995.75839215713	-209.24272764274954	-42840.5918321091	0.5833705611176399	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1.0164116938663053	0.1706693156543028	1.2790873090315173	0.5588823725783472	1.5361444897936225	0.03741997343379289	1.1290088650064374	0.3280466511259942	0.2830576780013326	0.46232689189881343	0.49009683900069495	1.4614533247214865	0.7175889028289605	2.2396586152863165	1.2309434979921088	4.884226318300147	1.0164116938663053	0.1706693156543028	0.0	0.5588823725783472	0.0	0.0	1.1290088650064374	0.0	0.0	0.46232689189881343	0.0	0.0	0.0	0.0	1.2309434979921088	4.43470105916846E-4	0.2996990470565101	0.18033690944270703	0.1932600812360846	0.32670396226469917	0.05743550708511496	0.22779930848854124	0.014049083112823428	0.025766169845777925	0.16027974590273422	0.25602813236384775	-183.98790186498073	5.605264553850864	14.629880579922652	14.586257402515015	5.999929206788739	4.604678421301352	22.586494598860494	8.989718199317068	13.029043438597402	18.743183066561162	6.900489065513963	13.034988163760415	39.617409956818385	4.238171614241252	7.510206031870097	1.258846028784721	2.9786158624340366	1.8261768798281866	0.7186842632250222	0.8285941718307798	0.349299997716351	0.1979561830934451	0.18010222975609125	0.10387219961345376	0.1975112200880214	0.09231177187956463	0.25916197414795006	0.19306722911347304	0.07161982372432169	0.11058875255138463	0.03783437712168906	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	5.415782333367821	
5400000	-43228.215933879765	-42997.0577608588	-231.15817302096343	-42845.682911009164	0.6151482746330608	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	2.301980493516214	0.21474441710041228	1.1696469237803675	2.3145274889549965	0.2422133460649903	0.374873340881753	1.1502490977842617	2.6597079126611747	0.638449044122965	0.3725044483313278	0.13086556088960183	0.2149577919721082	0.8219918021508134	2.8925842397096893	4.099295977042395	3.64349854485565	2.301980493516214	0.0	0.0	0.0	0.2422133460649903	0.374873340881753	1.1502490977842617	2.6597079126611747	0.0	0.3725044483313278	0.0	0.0	0.0	0.0	4.099295977042395	3.959501047015685E-4	0.2961520488508406	0.1855074495151696	0.196613116700887	0.3217273849331037	0.05341013425570881	0.2597493304506174	0.017319268306976464	0.0304759916918519	0.3050061909198816	0.6200132867461308	-196.85835046627204	4.0790372069774925	3.1100277100335947	10.718396178686657	11.705467314635275	13.700625093271347	11.726657607836785	7.383198418472471	6.962189650484019	6.288123626765597	4.64370718671065	2.2223575547992955	5.742448756897779	4.905431114306105	2.245362254005834	3.104474591224319	4.261813282461046	2.0198367442978467	2.9169633442692664	1.659889735262498	0.6460002100437897	0.5075256690880731	0.32666246479602895	0.647890647595266	0.6810023050129269	0.2939471841915383	0.44361599544489344	0.186465687502479	0.06147406803902869	0.06857185505484528	0.04396779152548137	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	5.790680286236026	
6300000	-43252.118525329985	-42991.95427456277	-260.164250767215	-42846.17734620925	0.6687071549572806	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	3.2412862936035465	0.07013520813554283	0.5815688452637349	0.3066540065818627	2.04411931362152	4.386061307697707	1.1495255466368473	1.4930089834294895	0.046025494309269464	1.1674598900163957	2.806774417151068	2.163884738080884	1.5023952008027153	0.3047505330464935	1.7187980826373856	3.1451552907530735	3.2412862936035465	0.0	0.0	0.0	2.04411931362152	0.0	1.1495255466368473	0.0	0.0	1.1674598900163957	2.806774417151068	0.0	0.0	0.0	1.7187980826373856	4.037910940994601E-4	0.29513983596001037	0.18269309270810896	0.1951131209924128	0.3270539503394689	0.0739778760248226	0.20566286119827928	0.005606560563982148	0.01195427219657754	0.277586274491696	0.3897159094177716	-230.52801226835118	0.6713819625978171	2.339758318625962	2.795187486634344	41.35368799202248	14.123830071406848	6.044484804961046	3.6049239834812683	12.255555705527511	15.559548026749905	12.755758631432508	6.4921637247965505	6.706426972326614	5.7197961057650435	4.5683916535961995	2.765567883341129	1.9535623986953632	3.050111968128031	2.3167104641788687	6.361874788734149	2.0392327093742457	1.7879945717064722	0.7844701929734222	0.41323480953020314	0.4630073438067733	0.18392122783454096	0.5923074732151048	0.1860512375018091	0.2927680041717748	0.5261270939254877	0.04225637996123028	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	0.7042410258689603	
7200000	-43195.72984124015	-42984.98464143821	-210.74519980194216	-42843.762014508946	0.7353565295914346	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	1.168774224525959	0.9028010653904894	0.4928861659429771	0.34317379177694285	0.597633145913839	1.886219661584451	0.6029397964161626	0.049414540426897344	1.7523470601098852	0.23505857283861625	0.1360244260487184	1.9472852250726782	0.44008939144302284	0.6671770359488789	0.4689949664401984	2.6642411473428953	1.168774224525959	0.9028010653904894	0.0	0.34317379177694285	0.597633145913839	0.0	0.6029397964161626	0.0	0.0	0.23505857283861625	0.0	0.0	0.0	0.0	0.4689949664401984	4.541136177908085E-4	0.2970704016097638	0.17942257237640202	0.19702957331163118	0.3264774527022042	0.041017965014034256	0.24805433255279905	0.014211957419047381	0.055747045622487175	0.3149819146395329	0.33271592847422904	-189.40367882752284	4.468064228506648	1.2867402742202405	5.445406257675537	6.117502109137227	8.038565335798468	12.716145336601313	14.870948756644271	5.168261573662022	7.783466799717265	10.054604977414538	7.407455242754699	3.3017605605548233	3.9154389191975607	3.8618760170827096	2.5681596444412564	1.583791497631296	2.2368589287822034	1.618252501990198	0.8863710733121327	0.23929729209895242	0.29213021138869283	0.42060785210321394	0.48185481334786656	0.25389382624912765	0.4141754810447004	0.16924846479339153	0.8079990649148877	0.4410458830958299	0.18014084203442746	0.060867583700530664	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	0.746249365664358	
8100000	-43188.65346663607	-42977.71600783511	-210.93745880095992	-42843.52484814419	0.6197850170726269	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0.42837524121400467	0.058337700743395914	0.5596620657596928	0.39347566641971315	0.3537140301928502	0.9318108867538285	0.12294648510067796	0.35837680586963067	0.24283324788457503	0.9441028389744286	0.292397206864236	0.26540339665774476	0.07133015730138355	0.741174469675004	0.9209761430538593	5.179830105853853	0.42837524121400467	0.058337700743395914	0.0	0.0	0.3537140301928502	0.0	0.12294648510067796	0.0	0.0	0.9441028389744286	0.0	0.0	0.0	0.0	0.9209761430538593	5.056326347143891E-4	0.3001550959675018	0.18239460659146411	0.19731256346954562	0.3201377339714893	0.05043614915067029	0.30302265431104347	0.04314376348101105	0.008088042996090929	0.24041968051454068	0.14044743446873945	-194.64091971923216	3.879118037709504	2.1887833887983312	20.06282414351391	11.247708155536493	18.97360408654492	5.393478931328916	7.898487628285918	2.4686129451168237	4.759137040847119	4.382967673874745	3.2766187332391232	20.46240256179772	3.688629851864679	2.645994927816515	1.4977066761227844	1.1439537553287444	1.3109859211515498	1.07232934655385	0.7127037655271222	0.6192600629039181	0.21501367996802098	0.3428728860265265	0.6571458917749163	0.40143995177527364	0.6533847360962196	0.5014145250889772	0.33755686943047414	0.1427043854761267	0.16480611663126665	0.07446255394629943	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	1.5914215529614757	
